File,DNA,Gene
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_bs_head_shape
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_body_pattern
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_body_shading
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_eye_color_hue
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_eye_color_saturation
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_eye_color_value
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_fire_color
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_fire_smoke
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_horn_color_hue
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_horn_color_saturation
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_horn_color_value
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_metallic_scales_strength
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_primary_color_hue
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_primary_color_saturation
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_primary_color_value
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_scale_highlights
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_scale_shadows
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_secondary_hue
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_secondary_saturation
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_secondary_value
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_tertiary_hue
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_tertiary_saturation
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_tertiary_value
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_wings_shading
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_dragon_wounded
common/bookmark_portraits/bookmark_106_alicent_hightower.txt,bookmark_106_alicent_hightower,gene_face_dacals
common/bookmark_portraits/bookmark_106_corlys_velaryon.txt,bookmark_106_corlys_velaryon,gene_dragon_body_pattern
common/bookmark_portraits/bookmark_106_corlys_velaryon.txt,bookmark_106_corlys_velaryon,gene_dragon_eye_color_saturation
common/bookmark_portraits/bookmark_106_corlys_velaryon.txt,bookmark_106_corlys_velaryon,gene_dragon_fire_color
common/bookmark_portraits/bookmark_106_corlys_velaryon.txt,bookmark_106_corlys_velaryon,gene_dragon_fire_smoke
common/bookmark_portraits/bookmark_106_corlys_velaryon.txt,bookmark_106_corlys_velaryon,gene_dragon_horn_color_saturation
common/bookmark_portraits/bookmark_106_corlys_velaryon.txt,bookmark_106_corlys_velaryon,gene_dragon_primary_color_saturation
common/bookmark_portraits/bookmark_106_corlys_velaryon.txt,bookmark_106_corlys_velaryon,gene_dragon_scale_highlights
common/bookmark_portraits/bookmark_106_corlys_velaryon.txt,bookmark_106_corlys_velaryon,gene_dragon_scale_shadows
common/bookmark_portraits/bookmark_106_corlys_velaryon.txt,bookmark_106_corlys_velaryon,gene_dragon_secondary_saturation
common/bookmark_portraits/bookmark_106_corlys_velaryon.txt,bookmark_106_corlys_velaryon,gene_dragon_tertiary_saturation
common/bookmark_portraits/bookmark_106_craghas_drahar.txt,bookmark_106_craghas_drahar,gene_dragon_body_pattern
common/bookmark_portraits/bookmark_106_craghas_drahar.txt,bookmark_106_craghas_drahar,gene_dragon_eye_color_saturation
common/bookmark_portraits/bookmark_106_craghas_drahar.txt,bookmark_106_craghas_drahar,gene_dragon_fire_color
common/bookmark_portraits/bookmark_106_craghas_drahar.txt,bookmark_106_craghas_drahar,gene_dragon_fire_smoke
common/bookmark_portraits/bookmark_106_craghas_drahar.txt,bookmark_106_craghas_drahar,gene_dragon_horn_color_saturation
common/bookmark_portraits/bookmark_106_craghas_drahar.txt,bookmark_106_craghas_drahar,gene_dragon_primary_color_saturation
common/bookmark_portraits/bookmark_106_craghas_drahar.txt,bookmark_106_craghas_drahar,gene_dragon_scale_highlights
common/bookmark_portraits/bookmark_106_craghas_drahar.txt,bookmark_106_craghas_drahar,gene_dragon_scale_shadows
common/bookmark_portraits/bookmark_106_craghas_drahar.txt,bookmark_106_craghas_drahar,gene_dragon_secondary_saturation
common/bookmark_portraits/bookmark_106_craghas_drahar.txt,bookmark_106_craghas_drahar,gene_dragon_tertiary_saturation
common/bookmark_portraits/bookmark_106_daemon_targaryen.txt,bookmark_106_daemon_targaryen,gene_dragon_body_pattern
common/bookmark_portraits/bookmark_106_daemon_targaryen.txt,bookmark_106_daemon_targaryen,gene_dragon_eye_color_saturation
