Mod,File,SHA256
A Game of Thrones,common/dna_data/agot_dna_a_historical_heroes.txt,64EBE3413B9DFE5ADBFEC03090A5222D30727BB84EEDD6422ECF6CCED79B5C46
A Game of Thrones,common/dna_data/agot_dna_andalos_ancestors.txt,3BC3E5DC04F5F4A10E7A08A4E7303287AA166886B566667C9ADA3A6236280B1B
A Game of Thrones,common/dna_data/agot_dna_axe_ancestors.txt,2FF67C793D1753C1E6953EF8FA52AD18EA89CB2A4B4F772673900A36C97FEAC2
A Game of Thrones,common/dna_data/agot_dna_braavos.txt,79072AD907B6239B92E00081DC3554F78DDA946BAEE661959816C60D19C8494D
A Game of Thrones,common/dna_data/agot_dna_braavos_ancestors.txt,AE451CAF0D26E9F178FA3652F58CCE5C0EAEBA36A3716ED98C4FF1677DA86F60
A Game of Thrones,common/dna_data/agot_dna_btw.txt,5FF483B2A7944AF91FE3657EC5E8A8B32FB8081F87ACF8272D3B0A710468B089
A Game of Thrones,common/dna_data/agot_dna_btw_ancestors.txt,BAFB21FB5F8424B657D06254B8458ACDFCF5B267BBB43AAB420F18633350919C
A Game of Thrones,common/dna_data/agot_dna_btw_craster.txt,A661E453A3FD3ACDBD2B0C0E6697E3358464F28AE14D54035FEDBA5515B3A853
A Game of Thrones,common/dna_data/agot_dna_btw_thenn.txt,E5D5C555026DD455EF09F7E1531CB794F3987598AE9D376A552BBAB67A5F2CEC
A Game of Thrones,common/dna_data/agot_dna_contest.txt,D8196910360F2C4C9D435A94417C3D61DF95ACF572B9EE3275A9194AD8B4FBB9
A Game of Thrones,common/dna_data/agot_dna_contest_ancestors.txt,264807F76438520BB01E028F70F56DDF30DA15089A3E3BF090EE8294F19069A9
A Game of Thrones,common/dna_data/agot_dna_crownlands.txt,8825E1E774480AD9B3F4FC6FCD866EB331D5256E9ECB03C08EC71BD7FDE39CCD
A Game of Thrones,common/dna_data/agot_dna_crownlands_ancestors.txt,0CE54285ED6453053DB49E37C10F5B9CDC87C01BF4AB1A94218C70EBB51895E6
A Game of Thrones,common/dna_data/agot_dna_dorne.txt,39B4993A79047FF71B6183B9A3E9104FB1AAB0263A5138BE7E3F40B7AE103475
A Game of Thrones,common/dna_data/agot_dna_dorne_ancestors.txt,4C5A53CECB68D3B72EA010F82884291A73345ABEEA78AE0E7A6F6E5ACE9904E9
A Game of Thrones,common/dna_data/agot_dna_dragonstone.txt,70A9A9F857BFD70306428A4FD4097DC47A1B9BAF11758BBA3A953BCE781AD037
A Game of Thrones,common/dna_data/agot_dna_dragonstone_ancestors.txt,2A7E6BB7EB5EB1B5D9F3F180B15904976A0397C7E48F389147CC3DC1B6BF0516
A Game of Thrones,common/dna_data/agot_dna_iron_islands.txt,B8E8A8E83636BF3EB67757D695DC6A0C5571A5B7AFA852DF2020F29ECE66346E
A Game of Thrones,common/dna_data/agot_dna_iron_islands_ancestors.txt,F0DA44781B14447941CDB52DF69BD41A36ED3D561557008686C438ACED081B71
A Game of Thrones,common/dna_data/agot_dna_lorath.txt,AC420CC8D46A8C0349D6E8D3E7D464816357BF269FBA4E1B8707C4F52297EE6F
A Game of Thrones,common/dna_data/agot_dna_lorath_ancestors.txt,527E5A32FCE5BB9B0819EF91BDEF4327A6AE4C7680B91B6B1EE8DB438BBD29B7
A Game of Thrones,common/dna_data/agot_dna_mercenaries.txt,10431E811FAF30AB1EED8EBDDA283FDAE75C35F32F005EDAC9677051088D19A4
A Game of Thrones,common/dna_data/agot_dna_nightswatch.txt,575B84DCFA4FBC7787E2358F05D76ED65C490A72DF76107DF13517D0D06ACD7E
A Game of Thrones,common/dna_data/agot_dna_north.txt,32F0DBA7259B95EF68FA486AA9722032B6AA2C3DBF065053CE749973B9F654DB
A Game of Thrones,common/dna_data/agot_dna_north_ancestors.txt,1C01AFC9EF5372B645E9CCC21595E2EBE78B0C2AC0E9A613DA9E079F5F1E7686
A Game of Thrones,common/dna_data/agot_dna_norvos.txt,108B77F26B5CA6AEF138493858653BA951CF0693E2E5FAD3D1EA71E4EA0957E5
A Game of Thrones,common/dna_data/agot_dna_norvos_ancestors.txt,4513E6D14D72E8EC054E17D2326C353EE594129E22CAD093FECBAE0CB81329B3
A Game of Thrones,common/dna_data/agot_dna_pentos.txt,58A703511D26F821ADD9C60FACE28610D5198E116B737FA27D24271C7F1DB66C
A Game of Thrones,common/dna_data/agot_dna_pentos_ancestors.txt,AA76B8C1B3A0095D25189490B228C98F3E4D46A48766436E8F5C60F9A7E62DB2
A Game of Thrones,common/dna_data/agot_dna_qohor_ancestors.txt,C681D3B7B54FCEAE39700A832893FD37AE6D197F7D99DB0D8431B82DA515038B
A Game of Thrones,common/dna_data/agot_dna_reach.txt,A1F65554F0474FDD2652327CFD585EC0A7EBAB7C4E22909D4B395A928CB3AD8B
A Game of Thrones,common/dna_data/agot_dna_reach_ancestors.txt,F7E09A8D4BAD58FC4A3578C4AFDFFA779250E599AADCF2189841DC21F2398A89
A Game of Thrones,common/dna_data/agot_dna_rhoyne_ancestors.txt,E558020DC59E1794B7051FF1FAF501BE7E0274F59B5677B3BD56085BB178B5A0
