Gene,Template,Index,Owner,File,Line,Attributes
additive_headgear,ccp5_bishop_mitre,10,AGOT Submod Core,common/genes/06_genes_special_accessories_headgear.txt,4930,
additive_headgear,coa_crest,9,AGOT Submod Core,common/genes/06_genes_special_accessories_headgear.txt,4917,
additive_headgear,ep2_western_era1_veils,2,AGOT Submod Core,common/genes/06_genes_special_accessories_headgear.txt,4820,
additive_headgear,ep2_western_era2_veils,3,AGOT Submod Core,common/genes/06_genes_special_accessories_headgear.txt,4835,
additive_headgear,ep2_western_era3_veils,4,AGOT Submod Core,common/genes/06_genes_special_accessories_headgear.txt,4850,
additive_headgear,fp4_western_era2_veils,6,AGOT Submod Core,common/genes/06_genes_special_accessories_headgear.txt,4878,
additive_headgear,no_additive,0,AGOT Submod Core,common/genes/06_genes_special_accessories_headgear.txt,4795,
additive_headgear,pol_crest,7,AGOT Submod Core,common/genes/06_genes_special_accessories_headgear.txt,4892,
additive_headgear,pol_crown,8,AGOT Submod Core,common/genes/06_genes_special_accessories_headgear.txt,4904,
additive_headgear,sp3_western_royalty_headdress,5,AGOT Submod Core,common/genes/06_genes_special_accessories_headgear.txt,4868,
additive_headgear,tgc_mask,11,AGOT Submod Core,common/genes/06_genes_special_accessories_headgear.txt,4948,
additive_headgear,tgc_mask_black,12,AGOT Submod Core,common/genes/06_genes_special_accessories_headgear.txt,4961,
additive_headgear,tgc_mask_blackfyre,13,AGOT Submod Core,common/genes/06_genes_special_accessories_headgear.txt,4975,
additive_headgear,western_veils,1,AGOT Submod Core,common/genes/06_genes_special_accessories_headgear.txt,4805,
agot_parrot,agot_parrot,0,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,2385,
agot_two_headed,maelys_head,1,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,2370,
agot_two_headed,no_two_headed,0,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,2362,
agot_uncouth,aerys_nails,0,AGOT Submod Core,common/genes/08_genes_special_visual_traits.txt,2347,
animated_props,ep2_falcon_peregrine,1,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5185,
animated_props,ep2_horse_cgallop,7,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5264,
animated_props,ep2_horse_cgallopl,8,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5278,
animated_props,ep2_horse_idle,2,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5194,
animated_props,ep2_horse_loss,5,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5236,
animated_props,ep2_horse_tiltedl,6,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5250,
animated_props,ep2_horse_victory,4,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5222,
animated_props,ep2_horse_walk,3,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5208,
animated_props,ep3_byzantine_chariot_blue,11,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5310,
animated_props,ep3_byzantine_chariot_green,12,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5319,
animated_props,ep3_byzantine_chariot_random,15,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5346,
animated_props,ep3_byzantine_chariot_red,14,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5337,
animated_props,ep3_byzantine_chariot_w_horses_blue,16,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5358,
animated_props,ep3_byzantine_chariot_w_horses_green,17,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5372,
animated_props,ep3_byzantine_chariot_w_horses_random,20,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5414,
animated_props,ep3_byzantine_chariot_w_horses_red,19,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5400,
animated_props,ep3_byzantine_chariot_w_horses_white,18,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5386,
animated_props,ep3_byzantine_chariot_white,13,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5328,
animated_props,fp4_chifonie,10,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5301,
animated_props,fp4_paged_book,9,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5292,
animated_props,mpo_sheep,21,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5447,
animated_props,mpo_sheep_character_view,22,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5462,
animated_props,no_props,0,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5177,
animated_props,tgp_paged_chinese_book,23,AGOT Submod Core,common/genes/07_genes_special_accessories_misc.txt,5477,
beards,agot_brindled_men_thin_beards,49,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,911,
beards,agot_ibbenese_thin_beards,50,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,938,
beards,agot_special_scripted_beards,48,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,898,
beards,all_beards,1,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,29,
beards,byzantine_beards_curly,32,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,652,
beards,byzantine_beards_straight,31,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,635,
beards,cp7_emishi_ainu_beards_curly,44,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,852,
beards,cp7_emishi_ainu_beards_straight,42,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,815,
beards,cp7_emishi_ainu_beards_wavy,43,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,833,
beards,cs_bookmark_beards,47,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,889,
beards,ep2_beards,19,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,442,
beards,ep3_beards_curly,34,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,679,
beards,ep3_beards_straight,33,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,666,
beards,fp1_beards_curly,15,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,381,
beards,fp1_beards_straight,14,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,363,
beards,fp2_beards_curly,17,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,413,
beards,fp2_beards_straight,16,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,395,
beards,fp3_iranian_beards_curly,26,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,575,
beards,fp3_iranian_beards_straight,25,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,562,
beards,fp3_turkic_beards_curly,28,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,600,
beards,fp3_turkic_beards_straight,27,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,589,
beards,indian_beards_curly,12,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,336,
beards,indian_beards_straight,11,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,321,
beards,legacy_dna_beards,100,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,111,
beards,mena_beards_curly,5,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,210,
beards,mena_beards_straight,4,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,189,
beards,mpo_mongol_beards,37,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,718,
beards,no_beard,0,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,18,
beards,northern_beards_curly,7,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,251,
beards,northern_beards_straight,6,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,229,
beards,orthodox_beards,22,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,511,
beards,rr_bookmark_beards,46,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,878,
beards,rtt_beards,13,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,352,
beards,scripted_character_beards_01,20,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,456,
beards,scripted_character_beards_02,23,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,529,
beards,scripted_character_beards_03,24,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,547,
beards,scripted_character_beards_04,29,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,611,
beards,sp2_beards_straight,18,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,429,
beards,sp3_beards_straight,30,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,623,
beards,sp4_mena_beards,35,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,694,
beards,sp4_rus_beards,36,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,706,
beards,sp5_western_beards,45,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,866,
beards,steppe_beards_curly,9,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,291,
beards,steppe_beards_straight,8,A Game of Thrones,common/genes/04_genes_special_accessories_beards.txt,270,
