Category,Gene,File,Line,DNA,LogLine,Component,Message,AfterCount
dna_missing_gene,gene_dragon_primary_color_saturation,common/dna_data/test_dna_beyond_the_wall.txt,2,Rayder_asoiaf_1,1438,portraitcontext.cpp:326,Persistent portrait info missing gene gene_dragon_primary_color_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)',0
dna_missing_gene,gene_dragon_secondary_saturation,common/dna_data/test_dna_beyond_the_wall.txt,2,Rayder_asoiaf_1,1439,portraitcontext.cpp:326,Persistent portrait info missing gene gene_dragon_secondary_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)',0
dna_missing_gene,gene_dragon_tertiary_saturation,common/dna_data/test_dna_beyond_the_wall.txt,2,Rayder_asoiaf_1,1440,portraitcontext.cpp:326,Persistent portrait info missing gene gene_dragon_tertiary_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)',0
dna_missing_gene,gene_dragon_eye_color_saturation,common/dna_data/test_dna_beyond_the_wall.txt,2,Rayder_asoiaf_1,1441,portraitcontext.cpp:326,Persistent portrait info missing gene gene_dragon_eye_color_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)',0
dna_missing_gene,gene_dragon_horn_color_saturation,common/dna_data/test_dna_beyond_the_wall.txt,2,Rayder_asoiaf_1,1442,portraitcontext.cpp:326,Persistent portrait info missing gene gene_dragon_horn_color_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)',0
dna_missing_gene,gene_dragon_fire_color,common/dna_data/test_dna_beyond_the_wall.txt,2,Rayder_asoiaf_1,1443,portraitcontext.cpp:326,Persistent portrait info missing gene gene_dragon_fire_color! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)',0
dna_missing_gene,gene_dragon_fire_smoke,common/dna_data/test_dna_beyond_the_wall.txt,2,Rayder_asoiaf_1,1444,portraitcontext.cpp:326,Persistent portrait info missing gene gene_dragon_fire_smoke! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)',0
dna_missing_gene,gene_dragon_scale_shadows,common/dna_data/test_dna_beyond_the_wall.txt,2,Rayder_asoiaf_1,1445,portraitcontext.cpp:326,Persistent portrait info missing gene gene_dragon_scale_shadows! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)',0
dna_missing_gene,gene_dragon_scale_highlights,common/dna_data/test_dna_beyond_the_wall.txt,2,Rayder_asoiaf_1,1446,portraitcontext.cpp:326,Persistent portrait info missing gene gene_dragon_scale_highlights! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)',0
dna_missing_gene,gene_dragon_body_pattern,common/dna_data/test_dna_beyond_the_wall.txt,2,Rayder_asoiaf_1,1447,portraitcontext.cpp:326,Persistent portrait info missing gene gene_dragon_body_pattern! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 2 (Rayder_asoiaf_1)',0
dna_missing_gene,gene_dragon_primary_color_saturation,common/dna_data/test_dna_beyond_the_wall.txt,187,Giantsbane_asoiaf_1,1448,portraitcontext.cpp:326,Persistent portrait info missing gene gene_dragon_primary_color_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 187 (Giantsbane_asoiaf_1)',0
dna_missing_gene,gene_dragon_secondary_saturation,common/dna_data/test_dna_beyond_the_wall.txt,187,Giantsbane_asoiaf_1,1449,portraitcontext.cpp:326,Persistent portrait info missing gene gene_dragon_secondary_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 187 (Giantsbane_asoiaf_1)',0
dna_missing_gene,gene_dragon_tertiary_saturation,common/dna_data/test_dna_beyond_the_wall.txt,187,Giantsbane_asoiaf_1,1450,portraitcontext.cpp:326,Persistent portrait info missing gene gene_dragon_tertiary_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 187 (Giantsbane_asoiaf_1)',0
dna_missing_gene,gene_dragon_eye_color_saturation,common/dna_data/test_dna_beyond_the_wall.txt,187,Giantsbane_asoiaf_1,1451,portraitcontext.cpp:326,Persistent portrait info missing gene gene_dragon_eye_color_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 187 (Giantsbane_asoiaf_1)',0
dna_missing_gene,gene_dragon_horn_color_saturation,common/dna_data/test_dna_beyond_the_wall.txt,187,Giantsbane_asoiaf_1,1452,portraitcontext.cpp:326,Persistent portrait info missing gene gene_dragon_horn_color_saturation! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 187 (Giantsbane_asoiaf_1)',0
dna_missing_gene,gene_dragon_fire_color,common/dna_data/test_dna_beyond_the_wall.txt,187,Giantsbane_asoiaf_1,1453,portraitcontext.cpp:326,Persistent portrait info missing gene gene_dragon_fire_color! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 187 (Giantsbane_asoiaf_1)',0
dna_missing_gene,gene_dragon_fire_smoke,common/dna_data/test_dna_beyond_the_wall.txt,187,Giantsbane_asoiaf_1,1454,portraitcontext.cpp:326,Persistent portrait info missing gene gene_dragon_fire_smoke! at 'file: common/dna_data/test_dna_beyond_the_wall.txt line: 187 (Giantsbane_asoiaf_1)',0
