Symbol,File,Mod,Line,ActiveCode,RootDefinition,Text
try_start_diarchy,common/character_interactions/00_diarch_interactions.txt,A Game of Thrones,9530,True,False,try_start_diarchy = vizierate
try_start_diarchy,common/character_interactions/00_diarch_interactions.txt,A Game of Thrones,9839,True,False,try_start_diarchy = junior_emperorship
try_start_diarchy,common/character_interactions/00_diarch_interactions.txt,A Game of Thrones,9857,True,False,try_start_diarchy = junior_emperorship
try_start_diarchy,common/character_interactions/00_diarch_interactions.txt,A Game of Thrones,10071,True,False,try_start_diarchy = co_emperorship
try_start_diarchy,common/character_interactions/00_diarch_interactions.txt,A Game of Thrones,10097,True,False,try_start_diarchy = co_emperorship
try_start_diarchy,common/character_interactions/00_diarch_interactions.txt,A Game of Thrones,10297,True,False,try_start_diarchy = co_monarchy
try_start_diarchy,common/character_interactions/00_diarch_interactions.txt,A Game of Thrones,10315,True,False,try_start_diarchy = co_emperorship
try_start_diarchy,common/character_interactions/00_test_interactions.txt,A Game of Thrones,1073,True,False,scope:recipient = { try_start_diarchy = regency }
try_start_diarchy,common/character_interactions/06_ep3_interactions.txt,A Game of Thrones,11107,True,False,try_start_diarchy = co_emperorship
try_start_diarchy,common/character_interactions/DI_character_interaction.txt,Divine Intervention Cheat Menu,4799,True,False,try_start_diarchy = regency
try_start_diarchy,common/character_interactions/DI_character_interaction.txt,Divine Intervention Cheat Menu,4805,True,False,try_start_diarchy = regency
is_busy_in_events_localised,common/character_interactions/asoiaf_character_interactions.txt,AGOT+ | Исправления совместимости,151,True,False,is_busy_in_events_localised = yes
try_start_diarchy,common/effect_localization/04_ep2_diarchy_effects.txt,CK3,10,True,True,try_start_diarchy = {
try_start_diarchy,common/on_action/agot_on_actions/agot_free_city_on_actions.txt,A Game of Thrones,102,True,False,try_start_diarchy = norvos_high_priestship
try_start_diarchy,common/on_action/agot_on_actions/agot_game_start.txt,A Game of Thrones,2431,True,False,try_start_diarchy = norvos_high_priestship
try_start_diarchy,common/on_action/agot_on_actions/agot_game_start.txt,A Game of Thrones,2443,True,False,try_start_diarchy = second_magister
try_start_diarchy,common/on_action/agot_on_actions/agot_game_start.txt,A Game of Thrones,2460,True,False,try_start_diarchy = high_councilor
try_start_diarchy,common/on_action/agot_on_actions/agot_game_start.txt,A Game of Thrones,2470,True,False,try_start_diarchy = tyniate
try_start_diarchy,common/on_action/agot_on_actions/agot_game_start.txt,A Game of Thrones,2477,True,False,try_start_diarchy = gonfaloniere
agot_on_title_inheritance_lannister_baratheon_coa,common/on_action/agot_on_actions/agot_title_on_actions.txt,A Game of Thrones,1683,True,True,agot_on_title_inheritance_lannister_baratheon_coa = {
agot_on_title_inheritance_lannister_baratheon_coa,common/on_action/agot_on_actions/test_title_on_actions.txt,AGOT+ | Исправления совместимости,13,True,False,agot_on_title_inheritance_lannister_baratheon_coa
agot_on_title_inheritance_lannister_baratheon_coa,common/on_action/agot_on_actions/test_title_on_actions.txt,AGOT+ | Исправления совместимости,178,True,True,agot_on_title_inheritance_lannister_baratheon_coa = {
start_diarchy,common/on_action/agot_on_actions/test_title_on_actions.txt,AGOT+ | Исправления совместимости,233,True,False,start_diarchy = regency
asoiaf_destroy_crownlands_title_effect,common/on_action/agot_on_actions/test_title_on_actions.txt,AGOT+ | Исправления совместимости,449,True,False,"asoiaf_destroy_crownlands_title_effect = yes #taking the Iron Throne creates the Crownlands, so destroy it automatically"
asoiaf_canon_children_Targaryen_98_trigger,common/on_action/asoiaf_pregnancy_childbirth_on_actions.txt,AGOT+,610,True,False,asoiaf_canon_children_Targaryen_98_trigger = yes
asoiaf_canon_children_Targaryen_99_trigger,common/on_action/asoiaf_pregnancy_childbirth_on_actions.txt,AGOT+,611,True,False,asoiaf_canon_children_Targaryen_99_trigger = yes
asoiaf_canon_children_Targaryen_100_trigger,common/on_action/asoiaf_pregnancy_childbirth_on_actions.txt,AGOT+,612,True,False,asoiaf_canon_children_Targaryen_100_trigger = yes
asoiaf_canon_children_Targaryen_101_trigger,common/on_action/asoiaf_pregnancy_childbirth_on_actions.txt,AGOT+,613,True,False,asoiaf_canon_children_Targaryen_101_trigger = yes
asoiaf_canon_children_Targaryen_102_trigger,common/on_action/asoiaf_pregnancy_childbirth_on_actions.txt,AGOT+,625,True,False,asoiaf_canon_children_Targaryen_102_trigger = yes
asoiaf_canon_children_Targaryen_103_trigger,common/on_action/asoiaf_pregnancy_childbirth_on_actions.txt,AGOT+,626,True,False,asoiaf_canon_children_Targaryen_103_trigger = yes
asoiaf_canon_children_Targaryen_104_trigger,common/on_action/asoiaf_pregnancy_childbirth_on_actions.txt,AGOT+,627,True,False,asoiaf_canon_children_Targaryen_104_trigger = yes
asoiaf_destroy_crownlands_title_effect,common/on_action/asoiaf_setup.txt,AGOT+ | Исправления совместимости,96,False,False,#	asoiaf_destroy_crownlands_title_effect = yes
try_start_diarchy,common/on_action/game_start.txt,A Game of Thrones,1231,False,False,# 		try_start_diarchy = vizierate
try_start_diarchy,common/on_action/game_start.txt,A Game of Thrones,1242,False,False,# 			try_start_diarchy = co_emperorship
try_start_diarchy,common/on_action/game_start.txt,A Game of Thrones,1305,False,False,# 			try_start_diarchy = junior_emperorship
try_start_diarchy,common/on_action/game_start.txt,A Game of Thrones,1313,False,False,# 		try_start_diarchy = co_monarchy
try_start_diarchy,common/on_action/game_start.txt,A Game of Thrones,1318,False,False,# 		try_start_diarchy = regency
try_start_diarchy,common/on_action/game_start.txt,A Game of Thrones,1323,False,False,# 		try_start_diarchy = nomad_regency
try_start_diarchy,common/on_action/game_start.txt,A Game of Thrones,1328,False,False,# 		try_start_diarchy = regency
try_start_diarchy,common/on_action/game_start.txt,A Game of Thrones,7141,False,False,# 		try_start_diarchy = grand_secretariat
try_start_diarchy,common/on_action/title_on_actions.txt,A Game of Thrones,1416,False,False,# 			try_start_diarchy = grand_secretariat
