"Count","Category","Owner","FirstLogLine","Component","Message"
"10","Graphics / portrait source error","AGOT+","1385","pdxassetutil.cpp:556","UV-Set: 2 in mesh 'asoiaf_storms_end_wallsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area."
"7","Other error","Unresolved file","1256","virtualfilesystem.cpp:456","Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found'"
"7","Graphics / portrait source error","","1253","pdxassetutil.cpp:1053","Failed to find texture 'building_backup_atlas_properties.dds'"
"7","Graphics / portrait source error","AGOT+","1370","pdxassetutil.cpp:556","UV-Set: 2 in mesh 'asoiaf_storms_end_chapletsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area."
"7","Graphics / portrait source error","","1255","pdxassetutil.cpp:1053","Failed to find texture 'building_backup_atlas_normal.dds'"
"7","Other error","Unresolved file","1254","virtualfilesystem.cpp:456","Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found'"
"6","Localization / dynamic text error","","1460","pdx_locstring.cpp:93","Key is missing localization: test_crush_desc"
"4","History / title / faith reference error","","2242","history.cpp:644","Referencing non-existent character in script link character:Targaryen_61_1"
"4","Graphics / portrait source error","AGOT+","1395","pdxassetutil.cpp:556","UV-Set: 2 in mesh 'asoiaf_storms_end_decorationsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area."
"4","History / title / faith reference error","","2233","history.cpp:644","Referencing non-existent character in script link character:Dormund_1"
"3","Script / database error","","1636","jomini_eventmanager.cpp:119","'agot_cities.5000' does not have a valid namespace"
"2","Script / database error","","2129","jomini_effect.cpp:1145","Variable 'blackfyre_artifact' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
"2","Graphics / portrait source error","AGOT+","1288","pdxassetutil.cpp:2002","Asset ""gfx/models/portraits/m_clothes/asoiaf/asoiaf_iron_isles/asoiaf_ironborn_armour_dynast_coa/asoiaf_ironborn_armour_dynast_coa.mesh"" has more than 3 UV channels. This is not supported and will be ignored."
"2","Script / database error","","2130","jomini_effect.cpp:1145","Variable 'pincer_artifact' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
"2","Graphics / portrait source error","","1469","portraitaccessories.cpp:159","accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_01"""
"2","Graphics / portrait source error","","1468","portraitaccessories.cpp:159","accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_01"""
"2","Script / database error","","2128","jomini_effect.cpp:1145","Variable 'DI_artifact_quality_display' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
"2","Script / database error","","2124","jomini_effect.cpp:1145","Variable 'DI_artifact_subtype_display' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
"2","Script / database error","","2123","jomini_effect.cpp:1161","Variable 'is_Durrandon_51' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2122","jomini_effect.cpp:1161","Variable 'crown_aegon_baelor_artifact' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2127","jomini_effect.cpp:1145","Variable 'seafoam_artifact' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
"2","Script / database error","","2126","jomini_effect.cpp:1145","Variable 'COWAGOT_is_loaded' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
"2","Script / database error","","2125","jomini_effect.cpp:1145","Variable 'DI_artifact_category_display' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
"2","Graphics / portrait source error","","1487","portraitaccessories.cpp:159","accessory group [clothes:brightboar_swordsman_armour] has an invalid accessory ""female_clothes_secular_brightboar_swordsman"""
"2","Graphics / portrait source error","","1486","portraitaccessories.cpp:159","accessory group [clothes:brightboar_swordsman_armour] has an invalid accessory ""male_clothes_secular_brightboar_swordsman"""
"2","Graphics / portrait source error","","1482","portraitaccessories.cpp:159","accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_twoSwordsPants_blackfyreAlt_01"""
"2","Script / database error","","2118","jomini_effect.cpp:1161","Variable 'brightboar_enabled' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","1346","pdxassetutil.cpp:556","UV-Set: 1 in mesh 'crag_upper' in file 'gfx/models/buildings/special/crag/crag_level_1.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area."
"2","Graphics / portrait source error","","1490","portraitaccessories.cpp:159","accessory group [clothes:golden_company_armor_blackfyre] has an invalid accessory ""male_clothes_captainsArmor_blackfyreAlt_01"""
"2","Graphics / portrait source error","","1481","portraitaccessories.cpp:159","accessory group [legwear:tgc_pants_blackfyre] has an invalid accessory ""male_legwear_standardPants_blackfyreAlt_01"""
"2","Graphics / portrait source error","","1471","portraitaccessories.cpp:159","accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyreAlt_02"""
"2","Graphics / portrait source error","","1470","portraitaccessories.cpp:159","accessory group [headgear:tgc_helmets] has an invalid accessory ""male_headgear_tgc_helm_blackfyre_02"""
