Catalog,File,SHA256,LastWriteTime
AGOT_PLUS,common/artifacts/templates/asoiaf_artifacts_templates.txt,7819E8E963BC5929A3F43A39328F74C2AC6D543CAF395263EC98D4E7B1E58450,2026-09-18T05:27:21.337838+07:00
AGOT_PLUS,common/character_interactions/asoiaf_character_interactions.txt,1F389A58092F01F5A2F0DBEAD32B82DC701F30949ABA9283BEC4731918C34472,2026-09-18T05:27:21.460400+07:00
AGOT_PLUS,common/on_action/asoiaf_yearly_on_actions.txt,FB8C2952993E341FE23BF9E8BD0CC92C8C40E7F7E19540023DB6C06CD9A031A9,2026-09-18T05:27:22.418536+07:00
AGOT_PLUS,common/scripted_character_templates/asoiaf_invader_templates.txt,67ED5A01E2B1226AD6EB5C496CFC00E71EF6536D699CFC547002EBE05889C0F2,2026-09-18T05:27:22.416539+07:00
AGOT_PLUS,common/scripted_effects/asoiaf_agot_overwrite_effects.txt,04D527EDCE9813F551BFA06AA69FD0647C5D81B9BFEB0FEAE82F41BDA08B2E6B,2026-09-18T05:27:22.416539+07:00
AGOT_PLUS,common/scripted_effects/asoiaf_setup_effects.txt,02D7650B6D706312B3259C91D484729B3B5452D5EB3AB14033BCB5442B401671,2026-09-18T05:27:20.424727+07:00
AGOT_PLUS,common/scripted_effects/asoiaf_targaryen_invasion_claimants_effects.txt,D4F006BB9434F0975828DF61854904213124A3168D45C67A53AB533A681B96BB,2026-09-18T05:27:22.420534+07:00
AGOT_PLUS,gfx/court_scene/character_roles/asoiaf_default_roles.txt,52526F47B8329EBDADFC7CEB45E5821CB14AC0E0AFFC59786ECCAAE60BE2F92F,2026-09-18T05:27:23.446934+07:00
AGOT,common/nicknames/00_agot_event_nicknames.txt,ECBB7C29DAEF2B77F947FB27B9465748AD8B8EC0F497331BC7F7ED234B5B25DA,2026-09-18T04:54:53.702260+07:00
AGOT,common/men_at_arms_types/00_agot_innovation_maa_types.txt,97BAD377405BF58AE7F2380DA4B3B3396B092AC4DACC74FCBF334E992F1641DA,2026-09-18T04:54:53.645435+07:00
AGOT,common/dynasty_houses/00_agot_dynasty_houses.txt,6A064F0C934BA160DB66BD61C9FD7098F56AD887AA4DBCE0F16A3AE38AB055BC,2026-09-18T04:54:53.233495+07:00
