Category,Label,Before,After,Removed
mesh_duplicates,Дубли моделей и текстур,4,4,0
mesh_blendshape,Модели: blendshape и базовая геометрия,0,0,0
mesh_uv,Модели: UV-развёртки,75,0,75
ai_decisions,Решения: интервал проверки ИИ,5,5,0
localization,Локализация,6,6,0
heraldry,Гербы: отсутствующие текстуры,6,6,0
artifact_visuals,Артефакты: отсутствующее визуальное описание,1,1,0
modifier_unused,Неиспользуемые модификаторы,3,3,0
orphan_events,События без обнаруженных вызовов,2,2,0
character_links,Ссылки на отсутствующих персонажей,13,13,0
