"Count","Category","Owner","FirstLogLine","Component","Message"
"7","Other error","Unresolved file","1221","virtualfilesystem.cpp:456","Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found'"
"7","Graphics / portrait source error","","1220","pdxassetutil.cpp:1053","Failed to find texture 'building_backup_atlas_properties.dds'"
"7","Other error","Unresolved file","1223","virtualfilesystem.cpp:456","Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found'"
"7","Graphics / portrait source error","","1222","pdxassetutil.cpp:1053","Failed to find texture 'building_backup_atlas_normal.dds'"
"6","Localization / dynamic text error","","1365","pdx_locstring.cpp:93","Key is missing localization: test_crush_desc"
"4","History / title / faith reference error","","2147","history.cpp:644","Referencing non-existent character in script link character:Targaryen_61_1"
"4","History / title / faith reference error","","2138","history.cpp:644","Referencing non-existent character in script link character:Dormund_1"
"3","Script / database error","","1541","jomini_eventmanager.cpp:119","'agot_cities.5000' does not have a valid namespace"
"2","Script / database error","","2013","jomini_effect.cpp:1145","Flag 'global' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
"2","Script / database error","","2015","jomini_effect.cpp:1161","Variable 'is_Durrandon_51' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2012","jomini_effect.cpp:1145","Flag 'DI_subtype_throne' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
"2","Script / database error","","2011","jomini_effect.cpp:1145","Flag 'highlight_cow_provinces_map' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
"2","Script / database error","","2014","jomini_effect.cpp:1161","Variable 'blackfyre' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2010","jomini_effect.cpp:1145","Flag 'all_found' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
"2","Script / database error","","2003","jomini_effect.cpp:1161","Flag 'wilderness_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2004","jomini_effect.cpp:1161","Flag 'pirate_den_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2002","jomini_effect.cpp:1161","Flag 'monastery_holding' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
