"File","Line","Field","Key","LocalRussian","BuiltinRussian","ExternalRussian","ExternalCatalog","ExternalFile","ExternalLine"
"common/activities/activity_types/agot_dragon_hatching.txt","63","text","hatching_cannot_be_held","False","False","True","AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\event_localization\activities\agot_dragon_hatching_l_russian.yml","80"
"common/activities/activity_types/agot_dragon_hatching.txt","153","desc","base","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","159","desc","Cowardly","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","168","desc","Mystic","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","187","desc","base","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","193","desc","Bold","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","202","desc","Mystic","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","378","name","outcome","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","385","name","outcome","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","394","name","outcome","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","400","name","outcome","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","413","name","outcome","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","419","name","egg_status","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","425","name","egg_status","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","456","name","outcome","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","488","name","burned_characters","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","500","name","dead_characters","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","529","name","burned_characters","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","541","name","dead_characters","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","677","desc","Base","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","685","desc","Is","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","695","desc","Is","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","881","text","ALREADY_IN_ACTIVITY","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","978","name","possible_artifacts","False","False","False",,,
"common/activities/activity_types/agot_dragon_hatching.txt","985","name","selected_artifact","False","False","False",,,
