"File","Line","Field","Text","Classification"
"gui/custom_gui/mde_gui/dragonblood_viewer.gui","209","raw_text","Exit.","Player GUI literal"
"gui/custom_gui/mde_gui/dragonpits_viewer.gui","394","raw_text","Exit.","Player GUI literal"
"gui/custom_gui/mde_gui/dragonpits_viewer.gui","557","raw_text","Move Outside","Player GUI literal"
"gui/custom_gui/mde_gui/dragonpits_viewer.gui","622","raw_text","Exit.","Player GUI literal"
"gui/custom_gui/mde_gui/dragonpit_single_viewer.gui","817","raw_text","Exit.","Player GUI literal"
"gui/custom_gui/mde_gui/dragon_move_viewer.gui","310","raw_text","Exit.","Player GUI literal"
"gui/custom_gui/mde_gui/dragon_viewer.gui","388","raw_text","Exit.","Player GUI literal"
"gui/custom_gui/mde_gui/egg_viewer.gui","266","raw_text","Exit.","Player GUI literal"
"gui/custom_gui/mde_gui/kingsguard_viewer.gui","771","raw_text","Exit.","Player GUI literal"
"gui/custom_gui/mde_gui/mde_menu_menu.gui","1939","raw_text","Exit.","Player GUI literal"
"gui/custom_gui/mde_gui/valyrian_steel_viewer.gui","271","raw_text","Exit.","Player GUI literal"
