"File","Line","Key","Source"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","31","longbowmen","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","43","longbowmen","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","76","horse_archers","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","88","horse_archers","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","121","asawira","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","133","asawira","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","166","tarkhan","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","178","tarkhan","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","211","zupin_warrior","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","223","zupin_warrior","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","256","tawashi","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","268","tawashi","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","301","light_footmen","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","313","light_footmen","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","346","bowmen","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","358","bowmen","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","391","light_horsemen","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","403","light_horsemen","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","436","pikemen_unit","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","448","pikemen_unit","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","481","armored_footmen","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","493","armored_footmen","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","526","onager","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","538","onager","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","571","armored_horsemen","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","583","armored_horsemen","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","616","mangonel","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","628","mangonel","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","661","crossbowmen","AGOT Russian"
"common/scripted_guis/DI_army_spawner_maa_sgui.txt","673","crossbowmen","AGOT Russian"
