"Count","Category","Owner","Files","FirstLogLine"
"234","Script / database error","","","1438"
"177","Graphics / portrait source error","AGOT+ | Исправления совместимости","gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt","1445"
"130","Graphics / portrait source error","","","1192"
"26","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/05_clothes_situational.txt","2092"
"21","Graphics / portrait source error","AGOT+","gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh","1372"
"20","Script / database error","Legacy Of The Dragon","common/scripted_effects/00_agot_artifact_vs_sword_effects_override.txt","1863"
"17","Script / database error","AGOT Submod Core","common/scripted_triggers/tgc_loaded_trigger.txt","1679"
"17","Script / database error","Divine Intervention Cheat Menu","common/scripted_effects/DI_char_spawner_effects.txt","1847"
"16","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/05_headgear_situational.txt","2157"
"16","Script / database error","Divine Intervention AGOT Cheat Menu","common/scripted_effects/DI_court_position_spawner_overrides.txt","1987"
"15","History / title / faith reference error","","","2579"
"12","Script / database error","Divine Intervention Cheat Menu","common/character_interactions/DI_character_interaction.txt","1952"
"12","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/seagaurd/building_seagard_01.mesh","1317"
"10","Script / database error","COW-AGOT: 3D Models & Bigger Castles","common/on_action/cowagot_province_on_actions.txt","1962"
"10","Script / database error","Divine Intervention AGOT Cheat Menu","common/scripted_effects/DI_present_effects.txt","2027"
"8","Script / database error","A Game of Thrones","common/scripted_effects/00_agot_artifact_crowns_effects.txt","1664"
"8","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/01_cloaks_base.txt","2057"
"7","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/crag/crag_level_1.mesh","1347"
"7","Other error","Unresolved file","gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds","1257"
"7","Other error","Unresolved file","gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds","1255"
"7","Localization / dynamic text error","","","1443"
"6","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/crag/crag_level_2.mesh","1280"
"6","Script / database error","AGOT+","gfx/portraits/portrait_modifiers/asoiaf_headgear_crowns.txt","1639"
"6","Script / database error","COW-AGOT: 3D Models & Bigger Castles","common/buildings/yy_agotcities_special_buildings_westeros.txt","1657"
"6","Script / database error","AGOT Submod Core","gfx/portraits/portrait_modifiers/01_legwear_base.txt","2077"
"5","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/dunstonbury/dunstonbury.mesh","1375"
"5","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/whitegrove/whitegrove.mesh","1366"
"5","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/Evenfall/building_special_evenfall.mesh","1312"
"5","Graphics / portrait source error","AGOT+","gfx/portraits/portrait_modifiers/asoiaf_headgear_armor.txt","1634"
"4","History / title / faith reference error","Divine Intervention Cheat Menu","common/character_interactions/DI_character_interaction.txt","1841"
"4","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/crag/crag.mesh","1218"
"4","Graphics / portrait source error","AGOT+","gfx/portraits/portrait_modifiers/asoiaf_legwear_armour.txt","1649"
"4","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/duskendale/building_special_duskendale.mesh","1356"
"4","Script / database error","AGOT+","gfx/portraits/portrait_modifiers/asoiaf_clothes.txt","1626"
"3","Graphics / portrait source error","AGOT+","gfx/models/portraits/f_cloaks/asoiaf/asoiaf_nights_watch/f_asoiaf_nights_watch_cloak_1/f_asoiaf_nights_watch_cloak_1.mesh","1236"
"3","Script / database error","AGOT - Crowns of Westeros","common/modifiers/ntc_artifact_modifiers.txt","1661"
"3","Other error","","","2472"
"3","Graphics / portrait source error","Unresolved file","gfx/interface/icons/building_types/icon_riverrun.dds","2466"
"3","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/cow_blackhaven/cow_blackhaven.mesh","1220"
"3","Graphics / portrait source error","AGOT+","gfx/models/portraits/m_cloaks/asoiaf/asoiaf_nights_watch/asoiaf_nights_watch_cloak_1/asoiaf_nights_watch_cloak_1.mesh","1300"
"3","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/castamere/castamere_restored.mesh","1329"
"2","Script / database error","AGOT+ | Исправления совместимости","gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt","1580"
"2","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/castamere/24castamere_2.mesh","1269"
"2","Script / database error","Divine Intervention AGOT Cheat Menu","common/scripted_guis/DI_cultural_editor_pillars_sgui.txt","1947"
"2","Graphics / portrait source error","AGOT+","gfx/portraits/portrait_modifiers/asoiaf_dragon_appearance_flags.txt","1631"
"2","Graphics / portrait source error","AGOT Submod Core","gfx/portraits/accessories/smc_clothing.txt","1436"
"2","Script / database error","COW-AGOT: 3D Models & Bigger Castles","common/scripted_triggers/cowagot_building_requirement_triggers.txt","2262"
"2","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/rooksrest/rooksrest2.mesh","1295"
"2","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/griffins roost/building_special_griffins_roost.mesh","1294"
"2","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","gfx/models/buildings/special/Ten Towers/cow_building_special_ten_towers.mesh","1373"
