"Count","Category","Owner","FirstLogLine","Component","Message"
"10","Graphics / portrait source error","AGOT+","1386","pdxassetutil.cpp:556","UV-Set: 2 in mesh 'asoiaf_storms_end_wallsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area."
"7","Graphics / portrait source error","","1256","pdxassetutil.cpp:1053","Failed to find texture 'building_backup_atlas_normal.dds'"
"7","Graphics / portrait source error","","1254","pdxassetutil.cpp:1053","Failed to find texture 'building_backup_atlas_properties.dds'"
"7","Graphics / portrait source error","AGOT+","1372","pdxassetutil.cpp:556","UV-Set: 2 in mesh 'asoiaf_storms_end_chapletsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area."
"7","Other error","Unresolved file","1257","virtualfilesystem.cpp:456","Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_normal.dds not found'"
"7","Other error","Unresolved file","1255","virtualfilesystem.cpp:456","Could not find texture due to 'VFSOpen Error: gfx/models/buildings/special/castamere/building_backup_atlas_properties.dds not found'"
"6","Localization / dynamic text error","","1672","pdx_locstring.cpp:93","Key is missing localization: test_crush_desc"
"4","History / title / faith reference error","","2590","history.cpp:644","Referencing non-existent character in script link character:Targaryen_61_1"
"4","Graphics / portrait source error","AGOT+","1396","pdxassetutil.cpp:556","UV-Set: 2 in mesh 'asoiaf_storms_end_decorationsShape' in file 'gfx/models/court/rooms/asoiaf_storms_end/asoiaf_court_storms_end.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area."
"4","History / title / faith reference error","","2581","history.cpp:644","Referencing non-existent character in script link character:Dormund_1"
"3","Script / database error","","1848","jomini_eventmanager.cpp:119","'agot_cities.5000' does not have a valid namespace"
"2","Script / database error","","2364","jomini_effect.cpp:1161","Variable 'asoiaf_Stark_98_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2354","jomini_effect.cpp:1161","Variable 'brightboar_enabled' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2365","jomini_effect.cpp:1161","Variable 'asoiaf_Stark_9_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2366","jomini_effect.cpp:1161","Variable 'is_Durrandon_51' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2367","jomini_effect.cpp:1145","Variable 'blackfyre_artifact' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
"2","Script / database error","","2353","jomini_effect.cpp:1161","Variable 'asoiaf_Stark_88_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Graphics / portrait source error","COW-AGOT: 3D Models & Bigger Castles","1347","pdxassetutil.cpp:556","UV-Set: 1 in mesh 'crag_upper' in file 'gfx/models/buildings/special/crag/crag_level_1.mesh' has no valid triangle to use when calculating texture streaming factor. Texture streaming needs a triangle with an area."
"2","Script / database error","","2363","jomini_effect.cpp:1161","Variable 'asoiaf_Stark_96_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2359","jomini_effect.cpp:1161","Variable 'asoiaf_Stark_5_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2358","jomini_effect.cpp:1161","Variable 'asoiaf_Stark_86_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2360","jomini_effect.cpp:1161","Variable 'seafoam' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2361","jomini_effect.cpp:1161","Variable 'asoiaf_Stark_8_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2362","jomini_effect.cpp:1161","Variable 'asoiaf_Stark_99_cc' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2355","jomini_effect.cpp:1161","Variable 'is_jon_snow' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2357","jomini_effect.cpp:1161","Variable 'is_baratheon_6' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2356","jomini_effect.cpp:1161","Variable 'kingsguard_armour' is used but is never set. Setting it in an unused scripted trigger or effect does not count"
"2","Script / database error","","2368","jomini_effect.cpp:1145","Variable 'asoiaf_canon_children_Martell_4_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
"2","Script / database error","","2384","jomini_effect.cpp:1145","Variable 'asoiaf_canon_children_Baratheon_baby_born_variable' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count"
