File,Line,DNA,DefinitionCount,DefinitionFiles
history/characters/asoiaf_char_dummies.txt,3,Baratheon_asoiaf_34,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,25,Baratheon_asoiaf_36,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,47,Baratheon_asoiaf_50,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,70,Baratheon_asoiaf_52,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,93,Baratheon_asoiaf_71,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,115,Baratheon_asoiaf_1,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,137,Baratheon_asoiaf_2,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,159,Baratheon_asoiaf_3,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,181,Baratheon_asoiaf_4,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,203,Baratheon_asoiaf_2_1,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,225,Baratheon_asoiaf_5,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,247,Baratheon_asoiaf_6,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,270,Baratheon_asoiaf_7,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,292,Baratheon_asoiaf_10,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,315,Baratheon_asoiaf_13,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,338,Wylde_asoiaf_27,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,360,Estermont_asoiaf_44,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,382,Lonmouth_asoiaf_16,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,404,Tarth_asoiaf_1,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,426,Tarth_asoiaf_3,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,448,Tarth_asoiaf_6,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,471,Selmy_asoiaf_3,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,493,Trant_asoiaf_2,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,515,Cole_asoiaf_11,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,537,Seaworth_asoiaf_1,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,559,Melisandre_asoiaf_1,1,common/dna_data/test_dna_stormlands.txt
history/characters/asoiaf_char_dummies.txt,582,Baratheon_hh_asoiaf_4,1,common/dna_data/test_dna_essos.txt
history/characters/asoiaf_char_dummies.txt,604,Rayder_asoiaf_1,1,common/dna_data/test_dna_beyond_the_wall.txt
history/characters/asoiaf_char_dummies.txt,626,Giantsbane_asoiaf_1,1,common/dna_data/test_dna_beyond_the_wall.txt
history/characters/asoiaf_char_dummies.txt,648,Martell_asoiaf_4,1,common/dna_data/test_dna_dornish.txt
history/characters/asoiaf_char_dummies.txt,670,Martell_asoiaf_7,1,common/dna_data/test_dna_dornish.txt
history/characters/asoiaf_char_dummies.txt,693,Martell_asoiaf_8,1,common/dna_data/test_dna_dornish.txt
history/characters/asoiaf_char_dummies.txt,715,Martell_asoiaf_9,1,common/dna_data/test_dna_dornish.txt
history/characters/asoiaf_char_dummies.txt,738,Martell_asoiaf_10,1,common/dna_data/test_dna_dornish.txt
history/characters/asoiaf_char_dummies.txt,760,Martell_asoiaf_11,1,common/dna_data/test_dna_dornish.txt
history/characters/asoiaf_char_dummies.txt,782,Martell_asoiaf_12,1,common/dna_data/test_dna_dornish.txt
history/characters/asoiaf_char_dummies.txt,805,Martell_asoiaf_14,1,common/dna_data/test_dna_dornish.txt
history/characters/asoiaf_char_dummies.txt,828,Dayne_asoiaf_5,1,common/dna_data/test_dna_dornish.txt
history/characters/asoiaf_char_dummies.txt,850,Dayne_asoiaf_4,1,common/dna_data/test_dna_dornish.txt
history/characters/asoiaf_char_dummies.txt,873,Dayne_asoiaf_8,1,common/dna_data/test_dna_dornish.txt
history/characters/asoiaf_char_dummies.txt,895,Santagar_asoiaf_6,1,common/dna_data/test_dna_dornish.txt
history/characters/asoiaf_char_dummies.txt,917,Uller_asoiaf_6,1,common/dna_data/test_dna_dornish.txt
history/characters/asoiaf_char_dummies.txt,940,Tyrell_asoiaf_4,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,962,Tyrell_asoiaf_8,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,984,Tyrell_asoiaf_11,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1006,Tyrell_asoiaf_12,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1028,Tyrell_asoiaf_13,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1050,Tyrell_asoiaf_14,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1073,asoiaf_Fossoway_New_Barrel_1,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1095,Redwyne_asoiaf_2,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1118,asoiaf_Redwyne_4,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1140,asoiaf_Redwyne_5,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1162,asoiaf_Redwyne_7,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1185,Tarly_asoiaf_1,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1207,Tarly_asoiaf_2,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1229,Tarly_asoiaf_3,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1252,Tarly_asoiaf_4,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1275,Tarly_asoiaf_5,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1298,Tarly_asoiaf_6,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1320,Florent_asoiaf_2,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1342,Florent_asoiaf_8,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1365,Florent_asoiaf_10,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1388,Ashford_asoiaf_24,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1410,Ashford_asoiaf_27,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1433,Hightower_asoiaf_89,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1455,Hightower_asoiaf_90,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1477,Hightower_asoiaf_92,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1499,Hightower_asoiaf_97,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1522,Hightower_asoiaf_99,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1544,Hightower_asoiaf_3,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1566,Hightower_asoiaf_5,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1588,Hightower_asoiaf_7,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1610,Hightower_asoiaf_9,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1633,Hightower_asoiaf_14,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1656,Beesbury_asoiaf_21,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1678,Oakheart_asoiaf_4,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1700,Strickland_asoiaf_1,1,common/dna_data/test_dna_reach.txt
history/characters/asoiaf_char_dummies.txt,1722,Greyjoy_asoiaf_5,1,common/dna_data/test_dna_iron_isles.txt
history/characters/asoiaf_char_dummies.txt,1744,Greyjoy_asoiaf_6,1,common/dna_data/test_dna_iron_isles.txt
history/characters/asoiaf_char_dummies.txt,1766,Greyjoy_asoiaf_9,1,common/dna_data/test_dna_iron_isles.txt
history/characters/asoiaf_char_dummies.txt,1788,Greyjoy_asoiaf_13,1,common/dna_data/test_dna_iron_isles.txt
history/characters/asoiaf_char_dummies.txt,1811,Greyjoy_asoiaf_14,1,common/dna_data/test_dna_iron_isles.txt
history/characters/asoiaf_char_dummies.txt,1833,Arryn_asoiaf_80,1,common/dna_data/test_dna_vale.txt
history/characters/asoiaf_char_dummies.txt,1856,Arryn_asoiaf_84,1,common/dna_data/test_dna_vale.txt
history/characters/asoiaf_char_dummies.txt,1879,Arryn_asoiaf_3,1,common/dna_data/test_dna_vale.txt
history/characters/asoiaf_char_dummies.txt,1901,Arryn_asoiaf_8,1,common/dna_data/test_dna_vale.txt
history/characters/asoiaf_char_dummies.txt,1923,Lannister_asoiaf_90,1,common/dna_data/test_dna_westerlands.txt
history/characters/asoiaf_char_dummies.txt,1945,Waynwood_asoiaf_5,1,common/dna_data/test_dna_vale.txt
history/characters/asoiaf_char_dummies.txt,1968,Hardyng_asoiaf_5,1,common/dna_data/test_dna_vale.txt
history/characters/asoiaf_char_dummies.txt,1990,Egen_asoiaf_3,1,common/dna_data/test_dna_vale.txt
history/characters/asoiaf_char_dummies.txt,2012,Baelish_asoiaf_2,1,common/dna_data/test_dna_vale.txt
history/characters/asoiaf_char_dummies.txt,2034,Royce_asoiaf_37,1,common/dna_data/test_dna_vale.txt
history/characters/asoiaf_char_dummies.txt,2056,Royce_asoiaf_1,1,common/dna_data/test_dna_vale.txt
history/characters/asoiaf_char_dummies.txt,2078,Moore_asoiaf_2,1,common/dna_data/test_dna_vale.txt
history/characters/asoiaf_char_dummies.txt,2100,Slynt_asoiaf_1,1,common/dna_data/test_dna_crownlands.txt
history/characters/asoiaf_char_dummies.txt,2122,Hollard_asoiaf_10,1,common/dna_data/test_dna_crownlands.txt
history/characters/asoiaf_char_dummies.txt,2144,Blackwater_asoiaf_1,1,common/dna_data/test_dna_crownlands.txt
history/characters/asoiaf_char_dummies.txt,2166,Staunton_asoiaf_19,1,common/dna_data/test_dna_crownlands.txt
history/characters/asoiaf_char_dummies.txt,2188,Darklyn_asoiaf_18,1,common/dna_data/test_dna_crownlands.txt
history/characters/asoiaf_char_dummies.txt,2210,Stokeworth_asoiaf_1,1,common/dna_data/test_dna_crownlands.txt
