"Key","Kind","Value","BeforeCount","AfterCount"
"trait_asoiaf_Targaryen_12_trait","Character","Эйгон (Юный Гриф)","1","0"
"trait_asoiaf_Targaryen_13_trait","Character","Эйнар Таргариен","1","0"
"trait_asoiaf_Targaryen_14_trait","Character","Геймон Таргариен","1","0"
"trait_asoiaf_Targaryen_15_trait","Character","Дейнис Таргариен","1","0"
"trait_asoiaf_Targaryen_16_trait","Character","Эйгон Таргариен","1","0"
"trait_asoiaf_Targaryen_17_trait","Character","Элейна Таргариен","1","0"
"trait_asoiaf_Targaryen_20_trait","Character","Эйрис Таргариен","1","0"
"trait_asoiaf_Targaryen_21_trait","Character","Рейлла Таргариен","1","0"
"trait_asoiaf_Targaryen_22_trait","Character","Эйликс Таргариен","1","0"
"trait_asoiaf_Targaryen_23_trait","Character","Бейлон Таргариен","1","0"
"trait_asoiaf_Targaryen_24_trait","Character","Деймион Таргариен","1","0"
"trait_asoiaf_Targaryen_25_trait","Character","Визерра Таргариен","1","0"
"trait_asoiaf_Targaryen_26_trait","Character","Эйрион Таргариен","1","0"
"trait_asoiaf_Targaryen_28_trait","Character","Висенья Таргариен","1","0"
"trait_asoiaf_Targaryen_27_trait","Character","Эйгон Таргариен","1","0"
"trait_asoiaf_Targaryen_29_trait","Character","Рейнис Таргариен","1","0"
"trait_asoiaf_Targaryen_30_trait","Character","Эйнис Таргариен","1","0"
"trait_asoiaf_Targaryen_31_trait","Character","Мейгор Таргариен","1","0"
"trait_asoiaf_Targaryen_32_trait","Character","Рейна Таргариен","1","0"
"trait_asoiaf_Targaryen_33_trait","Character","Эйгон Таргариен","1","0"
"trait_asoiaf_Targaryen_34_trait","Character","Визерис Таргариен","1","0"
"trait_asoiaf_Targaryen_35_trait","Character","Джейхейрис Таргариен","1","0"
"trait_asoiaf_Targaryen_36_trait","Character","Алисанна Таргариен","1","0"
"trait_asoiaf_Targaryen_37_trait","Character","Вейлла Таргариен","1","0"
"trait_asoiaf_Targaryen_38_trait","Character","Эйгон Таргариен","1","0"
"trait_asoiaf_Targaryen_40_trait","Character","Рейнис Таргариен","1","0"
"trait_asoiaf_Targaryen_39_trait","Character","Визерис Таргариен","1","0"
"trait_asoiaf_Targaryen_41_trait","Character","Эйрея Таргариен","1","0"
"trait_asoiaf_Targaryen_42_trait","Character","Рейлла Таргариен","1","0"
"trait_asoiaf_Targaryen_43_trait","Character","Эйгон Таргариен","1","0"
"trait_asoiaf_Targaryen_44_trait","Character","Дейнерис Таргариен","1","0"
"trait_asoiaf_Targaryen_45_trait","Character","Эймон Таргариен","1","0"
"trait_asoiaf_Targaryen_46_trait","Character","Бейлон Таргариен","1","0"
"trait_asoiaf_Targaryen_47_trait","Character","Алисса Таргариен","1","0"
"trait_asoiaf_Targaryen_48_trait","Character","Мейгель Таргариен","1","0"
"trait_asoiaf_Targaryen_49_trait","Character","Вейгон Таргариен","1","0"
"trait_asoiaf_Targaryen_50_trait","Character","Дейлла Таргариен","1","0"
"trait_asoiaf_Targaryen_51_trait","Character","Сейра Таргариен","1","0"
"trait_asoiaf_Targaryen_52_trait","Character","Визерра Таргариен","1","0"
"trait_asoiaf_Targaryen_53_trait","Character","Геймон Таргариен","1","0"
"trait_asoiaf_Targaryen_54_trait","Character","Валерион Таргариен","1","0"
"trait_asoiaf_Targaryen_55_trait","Character","Гейль Таргариен","1","0"
"trait_asoiaf_Targaryen_55_1_trait","Character","Мертворождённый сын Гейль","1","0"
"trait_asoiaf_Targaryen_56_trait","Character","Эйлор","1","0"
"trait_asoiaf_Targaryen_57_trait","Character","Джейкерис","1","0"
"trait_asoiaf_Targaryen_58_trait","Character","Эйгон","1","0"
"trait_asoiaf_Hammer_1_trait","Character","Хью","1","0"
"trait_asoiaf_Hammer_2_trait","Character","Дочь Хью","1","0"
"trait_asoiaf_White_1_trait","Character","Ульф Белый","1","0"
"trait_asoiaf_Farseed_1_trait","Character","Крапива","1","0"
"trait_asoiaf_Targaryen_59_trait","Character","Рейнис Таргариен","1","0"
"trait_asoiaf_Targaryen_60_trait","Character","Визерис Таргариен","1","0"
"trait_asoiaf_Targaryen_61_trait","Character","Деймон Таргариен","1","0"
"trait_asoiaf_Targaryen_62_trait","Character","Эйгон Таргариен","1","0"
"trait_asoiaf_Targaryen_131_trait","Character","Эймон Таргариен","1","0"
"trait_asoiaf_Targaryen_63_trait","Character","Рейнира Таргариен","1","0"
"trait_asoiaf_Targaryen_64_trait","Character","Бейлон Таргариен","1","0"
"trait_asoiaf_Targaryen_65_trait","Character","Эйгон Таргариен","1","0"
"trait_asoiaf_Targaryen_66_trait","Character","Хелейна Таргариен","1","0"
"trait_asoiaf_Targaryen_67_trait","Character","Эймонд Таргариен","1","0"
"trait_asoiaf_Targaryen_68_trait","Character","Дейрон Таргариен","1","0"
"trait_asoiaf_Targaryen_69_trait","Character","Бейла Таргариен","1","0"
"trait_asoiaf_Targaryen_70_trait","Character","Рейна Таргариен","1","0"
"trait_asoiaf_Targaryen_61_1_trait","Character","Эйрион Таргариен","1","0"
"trait_asoiaf_Targaryen_71_trait","Character","Джейхейра Таргариен","1","0"
"trait_asoiaf_Targaryen_72_trait","Character","Джейхейрис Таргариен","1","0"
"trait_asoiaf_Targaryen_73_trait","Character","Мейлор Таргариен","1","0"
"trait_asoiaf_Targaryen_74_trait","Character","Эймонд Таргариен","1","0"
"trait_asoiaf_Targaryen_75_trait","Character","Джейкерис Веларион","1","0"
"trait_asoiaf_Targaryen_76_trait","Character","Люцерис Веларион","1","0"
"trait_asoiaf_Targaryen_77_trait","Character","Джоффри Веларион","1","0"
"trait_asoiaf_Targaryen_78_trait","Character","Эйгон Таргариен","1","0"
"trait_asoiaf_Targaryen_79_trait","Character","Визерис Таргариен","1","0"
"trait_asoiaf_Targaryen_80_trait","Character","Висенья Таргариен","1","0"
"trait_asoiaf_Targaryen_81_trait","Character","Дейрон Таргариен","1","0"
"trait_asoiaf_Targaryen_82_trait","Character","Бейлор Таргариен","1","0"
"trait_asoiaf_Targaryen_83_trait","Character","Дейна Таргариен","1","0"
"trait_asoiaf_Targaryen_84_trait","Character","Рейна Таргариен","1","0"
"trait_asoiaf_Targaryen_85_trait","Character","Элейна Таргариен","1","0"
"trait_asoiaf_Targaryen_88_trait","Character","Эйгон Таргариен","1","0"
"trait_asoiaf_Targaryen_89_trait","Character","Эймон Таргариен","1","0"
"trait_asoiaf_Targaryen_90_trait","Character","Нейрис Таргариен","1","0"
"trait_asoiaf_Targaryen_91_trait","Character","Дейрон Таргариен","1","0"
"trait_asoiaf_Targaryen_134_trait","Character","Визерра Таргариен","1","0"
"trait_asoiaf_Targaryen_132_trait","Character","Визерис Таргариен","1","0"
"trait_asoiaf_Targaryen_133_trait","Character","Бейлон Таргариен","1","0"
"trait_asoiaf_Targaryen_92_trait","Character","Дейнерис Таргариен","1","0"
"trait_asoiaf_Targaryen_93_trait","Character","Эймонд Таргариен","1","0"
"trait_asoiaf_Targaryen_135_trait","Character","Хейгон Таргариен","1","0"
"trait_asoiaf_Targaryen_94_trait","Character","Деймон Блэкфайр","1","0"
"trait_asoiaf_Targaryen_95_trait","Character","Эйгор Жгучий Клинок","1","0"
"trait_asoiaf_Targaryen_96_trait","Character","Бринден Риверс","1","0"
"trait_asoiaf_Targaryen_97_trait","Character","Шира Морская Звезда","1","0"
"trait_asoiaf_Targaryen_98_trait","Character","Алисанна Таргариен","1","0"
"trait_asoiaf_Targaryen_99_trait","Character","Лили Таргариен","1","0"
"trait_asoiaf_Targaryen_100_trait","Character","Ива Таргариен","1","0"
"trait_asoiaf_Targaryen_101_trait","Character","Рози Таргариен","1","0"
"trait_asoiaf_Targaryen_102_trait","Character","Белленора Отерис","1","0"
"trait_asoiaf_Targaryen_103_trait","Character","Нарха Отерис","1","0"
"trait_asoiaf_Targaryen_104_trait","Character","Балерион Отерис","1","0"
"trait_asoiaf_Targaryen_105_trait","Character","Мия Таргариен","1","0"
"trait_asoiaf_Targaryen_106_trait","Character","Гвенис Таргариен","1","0"
"trait_asoiaf_Targaryen_107_trait","Character","Бейлор Таргариен","1","0"
"trait_asoiaf_Targaryen_108_trait","Character","Эйрис Таргариен","1","0"
"trait_asoiaf_Targaryen_109_trait","Character","Рейгель Таргариен","1","0"
"trait_asoiaf_Targaryen_110_trait","Character","Мейкар Таргариен","1","0"
"trait_asoiaf_Targaryen_111_trait","Character","Валлар Таргариен","1","0"
"trait_asoiaf_Targaryen_112_trait","Character","Матэрис Таргариен","1","0"
"trait_asoiaf_Targaryen_113_trait","Character","Дейрон Таргариен","1","0"
"trait_asoiaf_Targaryen_114_trait","Character","Бейлор Таргариен","1","0"
"trait_asoiaf_Targaryen_115_trait","Character","Эйлор Таргариен","1","0"
"trait_asoiaf_Targaryen_116_trait","Character","Эйлора Таргариен","1","0"
"trait_asoiaf_Targaryen_117_trait","Character","Дейнора Таргариен","1","0"
"trait_asoiaf_Targaryen_118_trait","Character","Дейрон Таргариен","1","0"
"trait_asoiaf_Targaryen_119_trait","Character","Эйрион Таргариен","1","0"
"trait_asoiaf_Targaryen_120_trait","Character","Эймон Таргариен","1","0"
"trait_asoiaf_Targaryen_121_trait","Character","Дейлла Таргариен","1","0"
"trait_asoiaf_Targaryen_122_trait","Character","Эйгон Таргариен","1","0"
"trait_asoiaf_Targaryen_123_trait","Character","Рей Таргариен","1","0"
"trait_asoiaf_Targaryen_124_trait","Character","Вейлла Таргариен","1","0"
"trait_asoiaf_Targaryen_125_trait","Character","Мейгор Таргариен","1","0"
"trait_asoiaf_Targaryen_126_trait","Character","Дункан Таргариен","1","0"
"trait_asoiaf_Targaryen_127_trait","Character","Джейхейрис Таргариен","1","0"
"trait_asoiaf_Targaryen_128_trait","Character","Шейра Таргариен","1","0"
"trait_asoiaf_Targaryen_129_trait","Character","Дейрон Таргариен","1","0"
"trait_asoiaf_Targaryen_130_trait","Character","Рейлла Таргариен","1","0"
"trait_asoiaf_Targaryen_1_trait","Character","Эйрис Таргариен","1","0"
"trait_asoiaf_Targaryen_2_trait","Character","Рейлла Таргариен","1","0"
"trait_asoiaf_Targaryen_3_trait","Character","Рейгар Таргариен","1","0"
"trait_asoiaf_Targaryen_4_trait","Character","Шейна Таргариен","1","0"
"trait_asoiaf_Targaryen_5_trait","Character","Дейрон Таргариен","1","0"
"trait_asoiaf_Targaryen_6_trait","Character","Эйгон Таргариен","1","0"
"trait_asoiaf_Targaryen_7_trait","Character","Джейхейрис Таргариен","1","0"
"trait_asoiaf_Targaryen_8_trait","Character","Визерис Таргариен","1","0"
"trait_asoiaf_Targaryen_9_trait","Character","Дейнерис Таргариен","1","0"
"trait_asoiaf_Targaryen_10_trait","Character","Рейнис Таргариен","1","0"
"trait_asoiaf_Targaryen_11_trait","Character","Эйгон Таргариен","1","0"
"trait_asoiaf_Velaryon_10_trait","Character","Джекейрис Веларион","1","0"
"trait_asoiaf_Velaryon_11_trait","Character","Деймон Веларион","1","0"
"trait_asoiaf_Velaryon_12_trait","Character","Валейна Веларион","1","0"
"trait_asoiaf_Velaryon_13_trait","Character","Эйтан Веларион","1","0"
"trait_asoiaf_Velaryon_14_trait","Character","Джекейрис Веларион","1","0"
"trait_asoiaf_Velaryon_15_trait","Character","Корлис Веларион","1","0"
"trait_asoiaf_Velaryon_16_trait","Character","Моника Веларион","1","0"
"trait_asoiaf_Velaryon_20_trait","Character","Деймон Веларион","1","0"
"trait_asoiaf_Velaryon_21_trait","Character","Люцерис Веларион","1","0"
"trait_asoiaf_Velaryon_23_trait","Character","Корлис Веларион","1","0"
"trait_asoiaf_Velaryon_24_trait","Character","Алисса Веларион","1","0"
"trait_asoiaf_Velaryon_25_trait","Character","Корвин Веларион","1","0"
"trait_asoiaf_Velaryon_26_trait","Character","Йорген Веларион","1","0"
"trait_asoiaf_Velaryon_31_trait","Character","Корлис Веларион","1","0"
"trait_asoiaf_Velaryon_34_trait","Character","Лейна Веларион","1","0"
"trait_asoiaf_Velaryon_35_trait","Character","Лейнор Веларион","1","0"
"trait_asoiaf_Velaryon_43_trait","Character","Аддам Веларион","1","0"
