"Catalog","File","SHA256","ExpectedSHA256","LastWriteTime"
"AGOT_PLUS","common/artifacts/templates/asoiaf_artifacts_templates.txt","7819E8E963BC5929A3F43A39328F74C2AC6D543CAF395263EC98D4E7B1E58450","7819E8E963BC5929A3F43A39328F74C2AC6D543CAF395263EC98D4E7B1E58450","2026-09-18T05:27:21.3378381+07:00"
"AGOT_PLUS","common/character_interactions/asoiaf_character_interactions.txt","1F389A58092F01F5A2F0DBEAD32B82DC701F30949ABA9283BEC4731918C34472","1F389A58092F01F5A2F0DBEAD32B82DC701F30949ABA9283BEC4731918C34472","2026-09-18T05:27:21.4603999+07:00"
"AGOT_PLUS","common/on_action/asoiaf_yearly_on_actions.txt","FB8C2952993E341FE23BF9E8BD0CC92C8C40E7F7E19540023DB6C06CD9A031A9","FB8C2952993E341FE23BF9E8BD0CC92C8C40E7F7E19540023DB6C06CD9A031A9","2026-09-18T05:27:22.4185356+07:00"
"AGOT_PLUS","common/scripted_character_templates/asoiaf_invader_templates.txt","67ED5A01E2B1226AD6EB5C496CFC00E71EF6536D699CFC547002EBE05889C0F2","67ED5A01E2B1226AD6EB5C496CFC00E71EF6536D699CFC547002EBE05889C0F2","2026-09-18T05:27:22.4165394+07:00"
"AGOT_PLUS","common/scripted_effects/asoiaf_agot_overwrite_effects.txt","04D527EDCE9813F551BFA06AA69FD0647C5D81B9BFEB0FEAE82F41BDA08B2E6B","04D527EDCE9813F551BFA06AA69FD0647C5D81B9BFEB0FEAE82F41BDA08B2E6B","2026-09-18T05:27:22.4165394+07:00"
"AGOT_PLUS","common/scripted_effects/asoiaf_setup_effects.txt","02D7650B6D706312B3259C91D484729B3B5452D5EB3AB14033BCB5442B401671","02D7650B6D706312B3259C91D484729B3B5452D5EB3AB14033BCB5442B401671","2026-09-18T05:27:20.4247275+07:00"
"AGOT_PLUS","common/scripted_effects/asoiaf_targaryen_invasion_claimants_effects.txt","D4F006BB9434F0975828DF61854904213124A3168D45C67A53AB533A681B96BB","D4F006BB9434F0975828DF61854904213124A3168D45C67A53AB533A681B96BB","2026-09-18T05:27:22.4205337+07:00"
"AGOT_PLUS","gfx/court_scene/character_roles/asoiaf_default_roles.txt","52526F47B8329EBDADFC7CEB45E5821CB14AC0E0AFFC59786ECCAAE60BE2F92F","52526F47B8329EBDADFC7CEB45E5821CB14AC0E0AFFC59786ECCAAE60BE2F92F","2026-09-18T05:27:23.4469345+07:00"
"AGOT","common/nicknames/00_agot_event_nicknames.txt","ECBB7C29DAEF2B77F947FB27B9465748AD8B8EC0F497331BC7F7ED234B5B25DA","ECBB7C29DAEF2B77F947FB27B9465748AD8B8EC0F497331BC7F7ED234B5B25DA","2026-09-18T04:54:53.7022602+07:00"
"AGOT","common/men_at_arms_types/00_agot_innovation_maa_types.txt","97BAD377405BF58AE7F2380DA4B3B3396B092AC4DACC74FCBF334E992F1641DA","97BAD377405BF58AE7F2380DA4B3B3396B092AC4DACC74FCBF334E992F1641DA","2026-09-18T04:54:53.6454347+07:00"
"AGOT","common/dynasty_houses/00_agot_dynasty_houses.txt","6A064F0C934BA160DB66BD61C9FD7098F56AD887AA4DBCE0F16A3AE38AB055BC","6A064F0C934BA160DB66BD61C9FD7098F56AD887AA4DBCE0F16A3AE38AB055BC","2026-09-18T04:54:53.2334949+07:00"
"AGOT","common/landed_titles/01_agot_landed_titles.txt","5B5CB1BECE3A0E483A810D86095DCA38350E7550A5B48F305C36D41BBFEA30D9","5B5CB1BECE3A0E483A810D86095DCA38350E7550A5B48F305C36D41BBFEA30D9","2026-09-18T04:54:49.2154210+07:00"
"AGOT","common/culture/cultures/00_agot_cul_ancient_races.txt","502988DDA37F09FC33D7E2CD056B14CFBDDADF806AEF4CE6588D1DCC6D24C22B","502988DDA37F09FC33D7E2CD056B14CFBDDADF806AEF4CE6588D1DCC6D24C22B","2026-09-18T04:54:53.8845209+07:00"
"AGOT","common/religion/religion_types/00_agot_the_flames.txt","0B783E2A65A5EE8A55F9784B489D9DAF401BD8BF63838AEE095FD0CFE67A129E","0B783E2A65A5EE8A55F9784B489D9DAF401BD8BF63838AEE095FD0CFE67A129E","2026-09-18T04:54:53.4035063+07:00"
"AGOT","common/scripted_effects/00_agot_dragon_canon_dragons_effects.txt","5821D6D2F0960403FB29E3988BCEF4E0F4B9C2945E6933461F6ECBC3BCAEC911","5821D6D2F0960403FB29E3988BCEF4E0F4B9C2945E6933461F6ECBC3BCAEC911","2026-09-18T04:54:49.2242070+07:00"
"AGOT","common/character_interactions/00_agot_bastard_interactions.txt","2734E6E7E8430D4CD897D87DFC6BE0F8B91F9D106D210EEB26566567D33BA203","2734E6E7E8430D4CD897D87DFC6BE0F8B91F9D106D210EEB26566567D33BA203","2026-09-18T04:54:52.6770254+07:00"
"AGOT_PLUS","common/on_action/agot_on_actions/test_title_on_actions.txt","C5D8C4ED2A7E7D74C3CE69B813A59B79F2F9BA7A9051B986D8BE9B8DA6D3C909","C5D8C4ED2A7E7D74C3CE69B813A59B79F2F9BA7A9051B986D8BE9B8DA6D3C909","2026-09-18T05:27:22.5380430+07:00"
"AGOT_PLUS","common/on_action/asoiaf_marriage_concubinage_on_actions.txt","E7D473B5AC906A8CF4AF3BEB3AD8180FCB458DCC67A302CAE17A446B609F3F93","E7D473B5AC906A8CF4AF3BEB3AD8180FCB458DCC67A302CAE17A446B609F3F93","2026-09-18T05:27:22.4175350+07:00"
"AGOT_PLUS","common/on_action/asoiaf_setup.txt","7F25A4EEBEEA047BE468ADF362AE73D266A7B308D23897A31BBEA237C35BD239","7F25A4EEBEEA047BE468ADF362AE73D266A7B308D23897A31BBEA237C35BD239","2026-09-18T05:27:22.5390438+07:00"
"AGOT_PLUS","common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt","4786ED9B37B34D4382DCBAEA41132CED9958F06E6F5AF6A04EC3688A2262416B","4786ED9B37B34D4382DCBAEA41132CED9958F06E6F5AF6A04EC3688A2262416B","2026-09-18T05:27:22.4185356+07:00"
"AGOT_PLUS","common/scripted_effects/asoiaf_canon_children_effects.txt","919D83FF542167E0E2AF695ED4FF8EF97D9D8E4F088DDFEE34A36823E91A71DB","919D83FF542167E0E2AF695ED4FF8EF97D9D8E4F088DDFEE34A36823E91A71DB","2026-09-18T05:27:20.4247275+07:00"
"AGOT_PLUS","common/scripted_effects/asoiaf_clear_traits_effects.txt","D595A8D3B2DD2F60FBB186D2765D98CB28F21AB789E3BC3896B7F7477C59087E","D595A8D3B2DD2F60FBB186D2765D98CB28F21AB789E3BC3896B7F7477C59087E","2026-09-18T05:27:21.9454340+07:00"
"AGOT_PLUS","common/scripted_triggers/asoiaf_cultural_portrait_triggers.txt","AFA7D370413B23E25BC4D85EA6C4BCB1254C14AA0CACF7DC31DB1315B031C037","AFA7D370413B23E25BC4D85EA6C4BCB1254C14AA0CACF7DC31DB1315B031C037","2026-09-18T05:27:22.5390438+07:00"
"AGOT_PLUS","events/asoiaf_young_griff_landing_events.txt","78E72DDCCB21730DE508AA056158EB9618EB0C3D6EA5EA0595C179297F82B4ED","78E72DDCCB21730DE508AA056158EB9618EB0C3D6EA5EA0595C179297F82B4ED","2026-09-18T05:27:22.5380430+07:00"
"AGOT_PLUS","gfx/interface/illustrations/scripted_illustrations/ingame.txt","7926254222CF475D4523DEE9C4CF595E6563ED1536E81D54E8E56E8F9C22C45B","7926254222CF475D4523DEE9C4CF595E6563ED1536E81D54E8E56E8F9C22C45B","2026-09-18T05:27:20.4693529+07:00"
"AGOT_PLUS","gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt","F4D773BEAC227AD8BB5830F704B1F43FCDD107F83E20EF29D0FF21680D84EAEE","F4D773BEAC227AD8BB5830F704B1F43FCDD107F83E20EF29D0FF21680D84EAEE","2026-09-18T05:27:20.7642847+07:00"
