File,DNA,DonorFile,DonorDNA,ExactGenes,ComparedGenes,Ratio,CheckedGenes,Unchanged,Interpretation
common/dna_data/test_dna_crownlands.txt,Cressen_asoiaf_1,common/bookmark_portraits/bookmark_284_cressen.txt,bookmark_284_cressen,98,103,0.9515,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
common/dna_data/test_dna_dornish.txt,Dayne_asoiaf_5,common/bookmark_portraits/bookmark_277_arthur_dayne.txt,bookmark_277_arthur_dayne,97,103,0.9417,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
common/dna_data/test_dna_essos.txt,Mysaria_asoiaf_1,common/bookmark_portraits/bookmark_106_mysaria.txt,bookmark_106_mysaria,100,103,0.9709,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
common/dna_data/test_dna_iron_isles.txt,Greyjoy_asoiaf_6,common/bookmark_portraits/bookmark_284_euron_greyjoy.txt,bookmark_284_euron_greyjoy,95,103,0.9223,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
common/dna_data/test_dna_reach.txt,Redwyne_asoiaf_2,common/bookmark_portraits/bookmark_239_olenna_redwyne.txt,bookmark_239_olenna_redwyne,97,103,0.9417,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
common/dna_data/test_dna_riverlands.txt,Tully_asoiaf_1,common/bookmark_portraits/bookmark_282_hoster_tully.txt,bookmark_282_hoster_tully,96,103,0.932,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
common/dna_data/test_dna_riverlands.txt,Tully_asoiaf_4,common/bookmark_portraits/bookmark_282_catelyn_tully.txt,bookmark_282_catelyn_tully,96,103,0.932,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
common/dna_data/test_dna_stormlands.txt,Selmy_asoiaf_3,common/bookmark_portraits/bookmark_277_barristan_selmy.txt,bookmark_277_barristan_selmy,96,103,0.932,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
common/dna_data/test_dna_stormlands.txt,Seaworth_asoiaf_1,common/bookmark_portraits/bookmark_284_davos_seaworth.txt,bookmark_284_davos_seaworth,96,103,0.932,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
common/dna_data/test_dna_vale.txt,Arryn_asoiaf_3,common/bookmark_portraits/challenge_character_284_jon_arryn.txt,challenge_character_284_jon_arryn,96,103,0.932,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,gene_bs_eye_size;gene_bs_eye_upper_lid_size;gene_bs_eye_fold_shape,similarity candidate only; identity must be checked separately; absent old genes do not prove conversion
