"IssueClass","Attribution","Evidence","LogLine","Component","Owner","Message"
"Triggers_effects_and_syntax","Resolved source path","common/decisions/asoiaf_house_branch_decisions.txt","9753","pdx_persistent_reader.cpp:216","AGOT+","Error: ""Unexpected token: decision_has_second_step, near line: 112
Unexpected token: decision_custom_widget_container, near line: 113"" in file: ""common/decisions/asoiaf_house_branch_decisions.txt"" near line: 118"
"Triggers_effects_and_syntax","Resolved source path","common/decisions/asoiaf_house_branch_decisions.txt","9755","pdx_persistent_reader.cpp:216","AGOT+","Error: ""Unexpected token: decision_has_second_step, near line: 481
Unexpected token: decision_custom_widget_container, near line: 482"" in file: ""common/decisions/asoiaf_house_branch_decisions.txt"" near line: 487"
"Triggers_effects_and_syntax","Resolved source path","common/decisions/asoiaf_house_branch_decisions.txt","9758","pdx_persistent_reader.cpp:216","AGOT+","Error: ""Unexpected token: decision_has_second_step, near line: 586
Unexpected token: decision_custom_widget_container, near line: 587"" in file: ""common/decisions/asoiaf_house_branch_decisions.txt"" near line: 592"
"Triggers_effects_and_syntax","Resolved source path","common/decisions/asoiaf_house_branch_decisions.txt","9761","pdx_persistent_reader.cpp:216","AGOT+","Error: ""Unexpected token: decision_has_second_step, near line: 702
Unexpected token: decision_custom_widget_container, near line: 703"" in file: ""common/decisions/asoiaf_house_branch_decisions.txt"" near line: 708"
"Triggers_effects_and_syntax","Resolved source path","gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt","9903","pdx_persistent_reader.cpp:216","AGOT+","Error: ""Unknown trigger: portrait_wear_lannister_armour_torso_courtiers, near line: 11965"" in file: ""gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt"" near line: 11965"
"Triggers_effects_and_syntax","Resolved source path","gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt","9943","pdx_persistent_reader.cpp:216","AGOT+","Error: ""Unexpected token: accesory, near line: 17859"" in file: ""gfx/portraits/portrait_modifiers/asoiaf_character_custom_flags.txt"" near line: 17859"
"Triggers_effects_and_syntax","Resolved source path","gfx/portraits/portrait_modifiers/asoiaf_clothes.txt","9949","jomini_eventtarget.cpp:692","AGOT+","Failed to find a valid event target link 'has_religion' at file: gfx/portraits/portrait_modifiers/asoiaf_clothes.txt line: 1092 (asoiaf_drowned_man_clothes_modifiers:weight)"
"Triggers_effects_and_syntax","Resolved source path","gfx/portraits/portrait_modifiers/asoiaf_clothes.txt","9950","pdx_persistent_reader.cpp:216","AGOT+","Error: ""Unknown trigger: liege.has_religion, near line: 1092"" in file: ""gfx/portraits/portrait_modifiers/asoiaf_clothes.txt"" near line: 1093"
"Triggers_effects_and_syntax","Resolved source path","gfx/portraits/portrait_modifiers/asoiaf_clothes.txt","9951","jomini_eventtarget.cpp:692","AGOT+","Failed to find a valid event target link 'has_religion' at file: gfx/portraits/portrait_modifiers/asoiaf_clothes.txt line: 1176 (asoiaf_drowned_man_clothes_modifiers:weight)"
"Triggers_effects_and_syntax","Resolved source path","gfx/portraits/portrait_modifiers/asoiaf_clothes.txt","9952","pdx_persistent_reader.cpp:216","AGOT+","Error: ""Unknown trigger: liege.has_religion, near line: 1176"" in file: ""gfx/portraits/portrait_modifiers/asoiaf_clothes.txt"" near line: 1181"
