"Mod","File","LastWriteTime","SHA256"
"AGOT_PLUS_FIX","common/scripted_character_templates/asoiaf_invader_templates.txt","2026-09-19T06:30:11.1894094+07:00","A60120118B5F121A6AC96C590DAE897F8FF4C52516F6F5A3945399795BCC0E5F"
"AGOT_PLUS_FIX","common/scripted_effects/asoiaf_targaryen_invasion_claimants_effects.txt","2026-09-19T06:30:11.1924522+07:00","2434B3FD6D4016AAB1EE8C1C4612C3F09C37BA26BD51A007BD268836C5867C42"
"AGOT_PLUS_FIX","common/scripted_effects/asoiaf_setup_effects.txt","2026-09-19T06:30:11.1939724+07:00","4EA643270EC4248E6404C533C7C5AB180B5B8EAFEB6E234A41E465AAAAAB7337"
"AGOT_PLUS_FIX","common/character_interactions/asoiaf_character_interactions.txt","2026-09-19T06:30:11.2035105+07:00","3701A4F4EB8D16861FBB48A6E471A7AB27B9C679848920C1EAEC529E1D24CF3A"
"AGOT_PLUS_FIX","common/artifacts/templates/asoiaf_artifacts_templates.txt","2026-09-19T06:30:11.2115292+07:00","6CBB6D381365390E925FAF56685B9648BC96F709EE97ADF114481FE72DDF1155"
"AGOT_PLUS_FIX","common/on_action/asoiaf_yearly_on_actions.txt","2026-09-19T06:30:11.2123375+07:00","62B996AF47C8F7E2A499F60F585B86DA2450EE2ADC3B41ED7E50D96404CA55F9"
"AGOT_PLUS_FIX","common/scripted_effects/asoiaf_agot_overwrite_effects.txt","2026-09-19T06:30:11.2200361+07:00","7675EC7E53462A2446A729D3B4EE5841AEC97F3EC04198653AAB3BD36794C23B"
"AGOT_PLUS_FIX","gfx/court_scene/character_roles/asoiaf_default_roles.txt","2026-09-19T06:30:11.2269382+07:00","39EA6D5BD2FC5EEBC6E52AD5EA964B20D8C8BF0E7AB8C777D5FCF7CF2B2294A4"
"AGOT_PLUS_FIX","common/scripted_effects/asoiaf_canon_children_effects.txt","2026-09-19T06:30:11.2344677+07:00","9D6BC2674E4E65C1978042180CC91DA8F04E2D8D0DB15A839152225CA173D24E"
"AGOT_PLUS_FIX","events/asoiaf_young_griff_landing_events.txt","2026-09-19T06:30:11.2414439+07:00","4D1C8AC0029C18F521D637D60DB8D48C11017E7C5552E6320F3367F318DD6DAC"
"AGOT_PLUS_FIX","common/scripted_effects/asoiaf_clear_traits_effects.txt","2026-09-19T06:30:11.2484528+07:00","5882D4AD8DE46F467DB18956371A678EF565D88DC09E7D4348344BE1283ED054"
"AGOT_PLUS_FIX","common/scripted_effects/asoiaf_assign_inactive_traits_effects.txt","2026-09-19T06:30:11.2575468+07:00","0D7A5920EF3DBF60100C17B4C44BD31BC113981CEA15E027A1060FEA25D2471F"
