Key,Identical,FirstFile,SecondFile
dragon_egg_aemond_1_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_aemond_1_ui_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_aemond_2_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_aemond_2_ui_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_aemond_3_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_aemond_3_ui_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_aenys_1_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_aenys_1_ui_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_aenys_2_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_aenys_2_ui_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_aerea_1_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_aerea_1_ui_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_aerea_2_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_aerea_2_ui_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_aerea_3_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_aerea_3_ui_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_anogaros_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_anogaros_ui_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_archonei_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_archonei_ui_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_arrax_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_arrax_ui_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_balerion_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_balerion_ui_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_cannibal_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_cannibal_ui_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_caraxes_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_caraxes_ui_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_daenerys_1_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_daenerys_1_ui_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_dragon_ancestor_1_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_dragon_ancestor_1_ui_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_dragon_ancestor_2_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_dragon_ancestor_2_ui_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_dragon_ancestor_3_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
dragon_egg_dragon_ancestor_3_ui_desc,True,localization/russian/dp_artifacts_l_russian.yml,localization/russian/mde_artifacts_l_russian.yml
