Before,After,Difference,Component,Message
1,0,-1,artifact_visual_type.cpp:31,Artifact visual type 'asoiaf_hound_armour_visuals' has no defined assets
1,0,-1,coat_of_arms_render_description.cpp:190,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/asoiaf_unicorn.dds near file: common/coat_of_arms/coat_of_arms/personal_coas_dynamic.txt line: 1080
1,0,-1,coat_of_arms_render_description.cpp:190,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/asoiaf_unicorn.dds near file: common/coat_of_arms/coat_of_arms/test_personal_coas.txt line: 2130
1,0,-1,coat_of_arms_render_description.cpp:190,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/ce_bottom_solid.dds near file: common/coat_of_arms/coat_of_arms/reach_dynasties.txt line: 1708
1,0,-1,coat_of_arms_render_description.cpp:190,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/ce_bottom_solid.dds near file: common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt line: 1302
1,0,-1,coat_of_arms_render_description.cpp:190,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/north_wibberly.dds near file: common/coat_of_arms/coat_of_arms/northern_dynasties.txt line: 1337
1,0,-1,coat_of_arms_render_description.cpp:190,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/north_wibberly.dds near file: common/coat_of_arms/coat_of_arms/test_northern_dynasties.txt line: 981
2,0,-2,coat_of_arms_render_description.cpp:190,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/re_block_02.dds near file: common/coat_of_arms/coat_of_arms/reach_dynasties.txt line: 192
2,0,-2,coat_of_arms_render_description.cpp:190,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/re_block_02.dds near file: common/coat_of_arms/coat_of_arms/test_reach_dynasties.txt line: 1781
1,0,-1,coat_of_arms_render_description.cpp:190,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/vale_seldon_rayonne.dds near file: common/coat_of_arms/coat_of_arms/riverland_dynasties.txt line: 120
1,0,-1,coat_of_arms_render_description.cpp:190,Failed to find textured emblem texture at path: gfx/coat_of_arms/colored_emblems/vale_seldon_rayonne.dds near file: common/coat_of_arms/coat_of_arms/test_riverland_dynasties.txt line: 735
1,0,-1,decision_type.cpp:224,asoiaf_aegon_II_greens_cadet_branch_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead
1,0,-1,decision_type.cpp:224,asoiaf_baelish_cadets_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead
1,0,-1,decision_type.cpp:224,asoiaf_greyjoy_cadets_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead
1,0,-1,decision_type.cpp:224,asoiaf_harlaw_cadets_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead
1,0,-1,decision_type.cpp:224,asoiaf_jon_targ_cadet_branch_decision has 'ai_check_interval'/'ai_check_interval_by_tier' that's negative or unset. Setting to 0 instead
1,0,-1,history.cpp:644,Referencing non-existent character in script link character:Broome_rs_54
4,0,-4,history.cpp:644,Referencing non-existent character in script link character:Dormund_1
2,0,-2,history.cpp:644,Referencing non-existent character in script link character:Hotah_rs_2
4,0,-4,history.cpp:644,Referencing non-existent character in script link character:Targaryen_61_1
2,0,-2,history.cpp:644,Referencing non-existent character in script link character:asoiaf_Targaryen_61_1
1,0,-1,jomini_eventmanager.cpp:372,Event asoiaf_mega_war_events.0001 is orphaned
1,0,-1,jomini_eventmanager.cpp:428,"Duplicated event ID 'agot_activity_commission_crown.0001' found. New Location: 'file: events/activities/agot_coronation_activity/agot_activity_events_crown_commission.txt line: 3 (agot_activity_commission_crown.0001)', Previous Location: 'file: events/activities/agot_coronation_activity/agot_activity_events_crown_commission.txt line: 3 (agot_activity_commission_crown.0001)'"
6,0,-6,pdx_locstring.cpp:93,Key is missing localization: test_crush_desc
