"File","Line","Building","Key","LocalRussian","ExternalRussian","ExternalFile","ExternalLine"
"99_background_graphics_buildings.txt","4","walls_00","building_walls_00","False","False",,
"99_background_graphics_buildings.txt","4","walls_00","building_walls_00_desc","False","False",,
"99_background_graphics_buildings.txt","4","walls_00","building_type_walls_00","False","False",,
"99_background_graphics_buildings.txt","4","walls_00","building_type_walls_00_desc","False","False",,
"99_background_graphics_buildings.txt","205","walls_01_tribal","building_walls_01_tribal","False","False",,
"99_background_graphics_buildings.txt","205","walls_01_tribal","building_walls_01_tribal_desc","False","False",,
"99_background_graphics_buildings.txt","205","walls_01_tribal","building_type_walls_01_tribal","False","False",,
"99_background_graphics_buildings.txt","205","walls_01_tribal","building_type_walls_01_tribal_desc","False","False",,
"99_background_graphics_buildings.txt","433","walls_01","building_walls_01","False","False",,
"99_background_graphics_buildings.txt","433","walls_01","building_walls_01_desc","False","False",,
"99_background_graphics_buildings.txt","433","walls_01","building_type_walls_01","False","False",,
"99_background_graphics_buildings.txt","433","walls_01","building_type_walls_01_desc","False","False",,
"99_background_graphics_buildings.txt","2912","walls_02","building_walls_02","False","False",,
"99_background_graphics_buildings.txt","2912","walls_02","building_walls_02_desc","False","False",,
"99_background_graphics_buildings.txt","2912","walls_02","building_type_walls_02","False","False",,
"99_background_graphics_buildings.txt","2912","walls_02","building_type_walls_02_desc","False","False",,
"99_background_graphics_buildings.txt","5477","walls_03","building_walls_03","False","False",,
"99_background_graphics_buildings.txt","5477","walls_03","building_walls_03_desc","False","False",,
"99_background_graphics_buildings.txt","5477","walls_03","building_type_walls_03","False","False",,
"99_background_graphics_buildings.txt","5477","walls_03","building_type_walls_03_desc","False","False",,
"99_background_graphics_buildings.txt","8001","walls_04","building_walls_04","False","False",,
"99_background_graphics_buildings.txt","8001","walls_04","building_walls_04_desc","False","False",,
"99_background_graphics_buildings.txt","8001","walls_04","building_type_walls_04","False","False",,
"99_background_graphics_buildings.txt","8001","walls_04","building_type_walls_04_desc","False","False",,
"yy_agotcities_special_buildings_westeros.txt","2","agot_hoare_castle_01","building_agot_hoare_castle_01","False","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1598"
"yy_agotcities_special_buildings_westeros.txt","2","agot_hoare_castle_01","building_agot_hoare_castle_01_desc","False","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1599"
"yy_agotcities_special_buildings_westeros.txt","2","agot_hoare_castle_01","building_type_agot_hoare_castle_01","False","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1596"
"yy_agotcities_special_buildings_westeros.txt","2","agot_hoare_castle_01","building_type_agot_hoare_castle_01_desc","False","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1597"
"yy_agotcities_special_buildings_westeros.txt","36","agot_hoare_castle_02","building_agot_hoare_castle_02","False","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1600"
"yy_agotcities_special_buildings_westeros.txt","36","agot_hoare_castle_02","building_agot_hoare_castle_02_desc","False","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1601"
"yy_agotcities_special_buildings_westeros.txt","36","agot_hoare_castle_02","building_type_agot_hoare_castle_02","False","False",,
"yy_agotcities_special_buildings_westeros.txt","36","agot_hoare_castle_02","building_type_agot_hoare_castle_02_desc","False","False",,
"yy_agotcities_special_buildings_westeros.txt","86","agot_maidenpool_01","building_agot_maidenpool_01","False","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","922"
"yy_agotcities_special_buildings_westeros.txt","86","agot_maidenpool_01","building_agot_maidenpool_01_desc","False","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","923"
"yy_agotcities_special_buildings_westeros.txt","86","agot_maidenpool_01","building_type_agot_maidenpool_01","False","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","920"
"yy_agotcities_special_buildings_westeros.txt","86","agot_maidenpool_01","building_type_agot_maidenpool_01_desc","False","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","921"
"yy_agotcities_special_buildings_westeros.txt","131","agot_lonely_light_01","building_agot_lonely_light_01","True","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1605"
"yy_agotcities_special_buildings_westeros.txt","131","agot_lonely_light_01","building_agot_lonely_light_01_desc","True","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1606"
"yy_agotcities_special_buildings_westeros.txt","131","agot_lonely_light_01","building_type_agot_lonely_light_01","True","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1603"
"yy_agotcities_special_buildings_westeros.txt","131","agot_lonely_light_01","building_type_agot_lonely_light_01_desc","True","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1604"
"yy_agotcities_special_buildings_westeros.txt","175","agot_lonely_light_02","building_agot_lonely_light_02","True","False",,
"yy_agotcities_special_buildings_westeros.txt","175","agot_lonely_light_02","building_agot_lonely_light_02_desc","True","False",,
"yy_agotcities_special_buildings_westeros.txt","175","agot_lonely_light_02","building_type_agot_lonely_light_02","False","False",,
"yy_agotcities_special_buildings_westeros.txt","175","agot_lonely_light_02","building_type_agot_lonely_light_02_desc","False","False",,
"yy_agotcities_special_buildings_westeros.txt","224","agot_lonely_light_03","building_agot_lonely_light_03","True","False",,
"yy_agotcities_special_buildings_westeros.txt","224","agot_lonely_light_03","building_agot_lonely_light_03_desc","True","False",,
"yy_agotcities_special_buildings_westeros.txt","224","agot_lonely_light_03","building_type_agot_lonely_light_03","False","False",,
"yy_agotcities_special_buildings_westeros.txt","224","agot_lonely_light_03","building_type_agot_lonely_light_03_desc","False","False",,
"yy_agotcities_special_buildings_westeros.txt","273","agot_lonely_light_04","building_agot_lonely_light_04","True","False",,
"yy_agotcities_special_buildings_westeros.txt","273","agot_lonely_light_04","building_agot_lonely_light_04_desc","True","False",,
"yy_agotcities_special_buildings_westeros.txt","273","agot_lonely_light_04","building_type_agot_lonely_light_04","False","False",,
"yy_agotcities_special_buildings_westeros.txt","273","agot_lonely_light_04","building_type_agot_lonely_light_04_desc","False","False",,
"yy_agotcities_special_buildings_westeros.txt","322","agot_lonely_light_05","building_agot_lonely_light_05","True","False",,
"yy_agotcities_special_buildings_westeros.txt","322","agot_lonely_light_05","building_agot_lonely_light_05_desc","True","False",,
"yy_agotcities_special_buildings_westeros.txt","322","agot_lonely_light_05","building_type_agot_lonely_light_05","False","False",,
"yy_agotcities_special_buildings_westeros.txt","322","agot_lonely_light_05","building_type_agot_lonely_light_05_desc","False","False",,
"yy_agotcities_special_buildings_westeros.txt","375","ashemark_01","building_ashemark_01","True","False",,
"yy_agotcities_special_buildings_westeros.txt","375","ashemark_01","building_ashemark_01_desc","True","False",,
"yy_agotcities_special_buildings_westeros.txt","375","ashemark_01","building_type_ashemark_01","True","False",,
"yy_agotcities_special_buildings_westeros.txt","375","ashemark_01","building_type_ashemark_01_desc","True","False",,
"yy_agotcities_special_buildings_westeros.txt","421","agot_ashemark_01","building_agot_ashemark_01","False","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1076"
"yy_agotcities_special_buildings_westeros.txt","421","agot_ashemark_01","building_agot_ashemark_01_desc","False","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1077"
"yy_agotcities_special_buildings_westeros.txt","421","agot_ashemark_01","building_type_agot_ashemark_01","False","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1074"
"yy_agotcities_special_buildings_westeros.txt","421","agot_ashemark_01","building_type_agot_ashemark_01_desc","False","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1075"
"yy_agotcities_special_buildings_westeros.txt","470","high_hermitage_01","building_high_hermitage_01","True","False",,
"yy_agotcities_special_buildings_westeros.txt","470","high_hermitage_01","building_high_hermitage_01_desc","True","False",,
"yy_agotcities_special_buildings_westeros.txt","470","high_hermitage_01","building_type_high_hermitage_01","True","False",,
"yy_agotcities_special_buildings_westeros.txt","470","high_hermitage_01","building_type_high_hermitage_01_desc","True","False",,
"yy_agotcities_special_buildings_westeros.txt","521","agot_lordsport_01","building_agot_lordsport_01","False","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1615"
"yy_agotcities_special_buildings_westeros.txt","521","agot_lordsport_01","building_agot_lordsport_01_desc","False","True","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","1616"
