"File","SHA256"
"common/buildings/99_background_graphics_buildings.txt","D2C8BE5902F21EFED225B35E74B07FBB3BEC8BE3079C30A027D367081A63506E"
"common/buildings/yy_agotcities_special_buildings_westeros.txt","D0517274F260152DB56300C364316A9070A166A6B765E0691B62754D014E0E78"
"common/buildings/zz_cowagot_ruin_buildings.txt","13917AD34BED44C086BA1BEA45C4312C9B4FB1620E0DFAFC5E6FE6AFD6DED91B"
"common/decisions/zz_cow_show_cities_decisions.txt","87C95BC0D7C681662828799659FF5F85EA510DFCFA72842A9CC85D18233C0C18"
"common/defines/cowagot_defines_custom.txt","E583DFF4F881D6E9C66C57611315152BD8B949567E91790E7C2ADAF72EDC50E1"
"common/game_rules/cowagot_rules.txt","225ACD7A878ABF66662DAD9303F97084C4AED5914F980EB92D1C292971D60E22"
"common/landed_titles/cow_custom_map_colors_titles.txt","2E78E90A5237043398E1D5FBA6BC87034DE90E19E183899486FCE2405F20A9DB"
"common/on_action/cowagot_province_on_actions.txt","FFC1FD1167435692A90CE7330E28DF45D189007D53A3992930DF55B05B7562B6"
"common/scripted_guis/00_agot_ruins_scripted_gui.txt","B5FD1ECC43970B560DBF8B05D32EE2BE6E44E9D324CA15A93E97B80F8B27525A"
"common/scripted_guis/cow_custom_mapmodes_gui.txt","C1E39AFE573430FF9C944756D2DD386E0248BD1D3F2796DF2CDEC6F70D9FF94B"
"common/scripted_guis/cow_trigge_mapmode.txt","5B1391C3BC90673B0CD8F220F42599480EF36294FF7807A542CEE34E7ED053F1"
"common/scripted_triggers/cowagot_building_requirement_triggers.txt","43421B2529B5537D2B0C0408117F790B08C0797F06C42F47A6A84016B3455391"
"events/agotcities_castamere_ruins.txt","4AC8C9047673A9D309CCE5EE8E8B457DF98459FF69F81F91D1E62C7E52AB1349"
"gui/custom_windows/my_cow_map_mode_window.gui","47D6B63F17A8A02EFCD37123F6C285766D528C96BE022D865EC2ABFB6E1B8BD6"
"gui/scripted_widgets/my_cow_map_mode_window.txt","95393133D46B10A77E0FEAD551F31A4E60C22B8085F739DBE82B93862F718E1E"
"gfx/map/map_modes/cow_custom_map_modes.txt","8F778544480135F7A9FAC9D69AE0F28AF187CD12CAAC6DA77CD16A93B40D7B4D"
