"File","Line","Field","Key","LocalRussian","ExternalRussian","ExternalCatalog","ExternalFile","ExternalLine"
"common/buildings/99_background_graphics_buildings.txt","14","name","building_empty_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","41","text","CASTLE_HOARE_REQUIREMENT","True","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","72","effect_desc","agot_sailing_activity_cost_discount_special_desc","False","True","AGOT_RU","E:\SteamLibrary\steamapps\workshop\content\1158310\2962803371\localization\russian\agot\agot_buildings_l_russian.yml","2993"
"common/buildings/yy_agotcities_special_buildings_westeros.txt","97","name","maidenpool_entity","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","144","name","building_special_lonely_light","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","189","name","building_special_lonely_light_02_entity","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","238","name","building_special_lonely_light_03_entity","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","287","name","building_special_lonely_light_04_entity","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","336","name","building_special_lonely_light_05_entity","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","381","name","ashemark_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","428","name","ashemark_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","476","name","high_hermitage_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","538","name","lordsport_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","617","name","deepwood_motte_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","665","name","deepwood_motte_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","717","name","bear_island_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","812","name","cow_blackhaven_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","852","name","rooksrest2_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","901","name","rooksrest_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","950","name","whitegrove_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","991","name","dunstonbury_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","1032","name","starpike_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","1069","name","crag_level_1_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","1114","name","crag_level_2_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","1161","name","crag_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","1201","name","crag_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","1246","name","building_special_yronwood_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","1295","name","building_special_yronwood_mesh","False","False",,,
"common/buildings/yy_agotcities_special_buildings_westeros.txt","1347","name","building_special_sisterton_entity","False","False",,,
